"행정구역별",2013,2014,2015,2016
"서울특별시",100.00,100.00,100.00,100.00
"부산광역시",97.46,98.00,98.13,98.24
"기장군",-,92.93,93.18,93.19
"대구광역시",100.00,100.00,100.00,100.00
"달성군",-,100.00,100.00,100.00
"인천광역시",94.98,96.01,96.13,96.18
"강화군",-,72.18,72.18,72.86
"옹진군",-,85.83,85.84,83.99
"광주광역시",99.58,100.00,100.00,99.99
"대전광역시",100.00,100.00,100.00,100.00
"울산광역시",97.96,98.73,98.94,98.95
"울주군",-,99.89,100.00,100.00
"경기도",88.35,97.46,97.57,97.72
"수원시",-,100.00,100.00,100.00
"성남시",-,100.00,100.00,100.00
"의정부시",-,100.00,100.00,100.00
"안양시",-,100.00,100.00,100.00
"부천시",-,100.00,100.00,100.00
"광명시",-,100.00,100.00,100.00
"평택시",-,100.00,100.00,100.00
"동두천시",-,78.23,78.44,78.52
"안산시",-,100.00,100.00,100.00
"고양시",-,100.00,100.00,100.00
"과천시",-,100.00,100.00,100.00
"구리시",-,100.00,100.00,100.00
"남양주시",-,100.00,100.00,100.00
"오산시",-,100.00,100.00,100.00
"시흥시",-,100.00,100.00,100.00
"군포시",-,100.00,100.00,100.00
"의왕시",-,100.00,100.00,100.00
"하남시",-,100.00,100.00,100.00
"용인시",-,100.00,100.00,100.00
"파주시",-,100.00,100.00,100.00
"이천시",-,100.00,100.00,100.00
"안성시",-,100.00,100.00,100.00
"김포시",-,100.00,100.00,100.00
"화성시",-,100.00,100.00,100.00
"광주시",-,98.90,98.90,98.91
"양주시",-,95.48,100.00,100.00
"포천시",-,87.99,87.99,88.02
"여주시",-,76.86,76.86,85.61
"연천군",-,76.54,77.30,77.30
"가평군",-,98.66,98.66,98.65
"양평군",-,91.51,92.37,92.59
"강원도",72.11,85.77,85.99,86.20
"춘천시",-,99.69,99.69,99.69
"원주시",-,99.78,99.80,99.91
"강릉시",-,91.54,91.61,91.64
"동해시",-,100.00,100.00,100.00
"태백시",-,96.29,96.29,96.29
"속초시",-,100.00,100.00,100.00
"삼척시",-,100.00,100.00,100.00
"홍천군",-,92.64,92.98,92.75
"횡성군",-,82.80,82.70,82.70
"영월군",-,77.80,77.80,77.72
"평창군",-,83.48,83.56,83.93
"정선군",-,81.01,81.05,80.94
"철원군",-,69.05,69.21,70.64
"화천군",-,80.21,81.35,81.35
"양구군",-,79.96,80.21,80.20
"인제군",-,96.84,96.84,96.84
"고성군",-,56.77,57.58,58.15
"양양군",-,71.68,71.68,72.95
"충청북도",82.54,91.43,90.96,91.21
"충주시",-,96.88,98.54,98.55
"제천시",-,100.00,100.00,100.00
"청주시",-,100.00,100.00,100.00
"보은군",-,86.38,86.38,86.38
"옥천군",-,75.27,75.84,77.02
"영동군",-,85.80,85.98,87.04
"진천군",-,86.17,87.93,87.99
"괴산군",-,93.30,88.65,88.65
"음성군",-,97.96,97.96,97.93
"단양군",-,91.66,91.94,91.98
"증평군",-,98.23,98.23,98.25
"충청남도",82.46,88.50,90.08,90.37
"천안시",-,100.00,100.00,100.00
"공주시",-,97.63,97.63,97.63
"보령시",-,100.00,100.00,100.00
"아산시",-,42.36,92.52,92.52
"서산시",-,100.00,98.84,98.89
"논산시",-,97.47,72.77,72.81
"계룡시",-,100.00,100.00,100.00
"당진시",-,100.00,100.00,100.00
"금산군",-,92.20,92.56,92.57
"부여군",-,87.06,86.89,86.89
"서천군",-,91.72,94.63,94.94
"청양군",-,88.77,88.77,88.76
"홍성군",-,89.91,89.91,90.03
"예산군",-,83.22,84.17,85.60
"태안군",-,81.89,82.04,83.14
"전라북도",74.00,84.54,84.84,86.30
"전주시",-,100.00,100.00,100.00
"군산시",-,99.14,99.14,99.14
"익산시",-,98.93,98.94,98.94
"정읍시",-,95.06,95.06,98.36
"남원시",-,100.00,100.00,100.00
"김제시",-,99.84,99.84,99.84
"완주군",-,70.36,70.80,71.15
"진안군",-,78.80,78.80,79.69
"무주군",-,94.27,94.27,94.30
"장수군",-,77.60,78.33,78.64
"임실군",-,73.94,73.94,74.09
"순창군",-,80.62,80.54,80.54
"고창군",-,82.09,82.41,82.41
"부안군",-,79.09,78.23,78.87
"전라남도",78.73,88.42,88.99,89.43
"목포시",-,95.43,95.44,100.00
"여수시",-,90.15,90.15,90.25
"순천시",-,99.42,99.44,99.44
"나주시",-,100.00,100.00,100.00
"광양시",-,100.00,100.00,100.00
"담양군",-,88.66,88.74,88.74
"곡성군",-,85.56,86.27,86.36
"구례군",-,87.72,92.48,92.51
"고흥군",-,90.67,90.67,90.63
"보성군",-,84.84,84.84,84.73
"화순군",-,76.89,77.15,77.15
"장흥군",-,87.20,87.20,87.20
"강진군",-,96.23,96.23,96.23
"해남군",-,80.97,81.04,81.02
"영암군",-,92.08,92.33,92.32
"무안군",-,75.15,82.27,89.42
"함평군",-,82.94,82.94,84.53
"영광군",-,94.56,94.56,94.56
"장성군",-,90.08,90.02,89.99
"완도군",-,90.76,90.76,90.76
"진도군",-,87.65,88.76,88.76
"신안군",-,85.72,85.72,86.00
"경상북도",75.60,85.53,86.16,86.99
"포항시",-,100.00,100.00,100.00
"경주시",-,100.00,100.00,100.00
"김천시",-,99.76,99.79,99.79
"안동시",-,100.00,100.00,100.00
"구미시",-,100.00,100.00,100.00
"영주시",-,99.59,99.74,99.69
"영천시",-,100.00,100.00,100.00
"상주시",-,96.28,96.61,96.65
"문경시",-,100.00,100.00,100.00
"경산시",-,70.28,70.48,70.61
"군위군",-,87.50,87.52,88.67
"의성군",-,80.65,80.65,82.58
"청송군",-,80.12,80.12,81.10
"영양군",-,80.22,80.22,80.22
"영덕군",-,83.99,84.12,85.11
"청도군",-,70.46,70.57,70.82
"고령군",-,89.22,89.21,89.21
"성주군",-,92.19,92.37,92.37
"칠곡군",-,89.98,89.98,89.98
"예천군",-,85.63,86.51,86.70
"봉화군",-,75.60,75.57,74.51
"울진군",-,84.49,84.49,84.88
"울릉군",-,84.22,84.22,84.22
"경상남도",71.43,89.79,89.87,89.86
"진주시",-,100.00,100.00,100.00
"통영시",-,100.00,100.00,100.00
"사천시",-,98.82,98.83,98.84
"김해시",-,100.00,100.00,100.00
"밀양시",-,100.00,100.00,100.00
"거제시",-,100.00,100.00,100.00
"양산시",-,99.62,99.62,99.62
"창원시",-,100.00,100.00,100.00
"의령군",-,62.77,63.28,63.36
"함안군",-,77.15,77.21,77.21
"창녕군",-,97.85,97.87,97.87
"고성군",-,72.91,74.09,72.63
"남해군",-,91.27,93.93,93.93
"하동군",-,86.38,86.78,86.78
"산청군",-,77.59,77.87,79.70
"함양군",-,87.66,87.73,83.00
"거창군",-,85.83,85.75,85.75
"합천군",-,76.69,76.56,76.56
"제주특별자치도",83.80,94.24,98.98,98.99
