"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",748953,740779,741229,733759,728614,719687,723086,729731,752285,780887,785094,812798,820658,820156
"종로구",39256,39115,39329,39093,38810,38347,37304,37636,38635,39486,39326,40923,40871,40664
"중구",70685,69748,67681,66493,63446,61180,59104,57916,59567,64307,64846,65364,66190,63640
"용산구",21474,21263,20352,20488,20027,18711,18651,18966,19392,20004,20067,20482,21178,20994
"성동구",25314,24466,25000,24373,23887,22523,21969,23148,23300,24250,24803,25714,26130,26581
"광진구",24589,23923,24028,23777,23899,23891,23886,23791,24607,24828,24676,24760,24531,24895
"동대문구",32243,32546,33151,32151,30034,28704,29763,29671,30130,31881,31972,32878,32994,32762
"중랑구",27166,26767,26044,26095,26329,25809,26113,26526,26992,27289,27490,28047,27287,27915
"성북구",24844,24268,24135,23331,23026,23246,24041,23593,24674,25061,25074,25104,24690,24560
"강북구",19919,20189,19788,19317,19362,19179,19430,19256,19404,19485,19248,19223,18654,18742
"도봉구",17431,17421,17388,17169,16656,17429,17762,17498,17659,17893,17713,18584,18455,18686
"노원구",24775,24668,25546,25049,25107,24882,24936,24491,25636,24864,25173,26081,25827,26271
"은평구",23305,23218,22494,21888,22034,22280,22488,22666,23055,23325,23953,24269,24179,24615
"서대문구",22499,21179,20823,20414,20176,18180,17863,17887,18116,18653,19211,19454,19612,19540
"마포구",25803,25777,27158,27302,28112,28014,28052,28930,30420,32053,32793,35070,36504,36191
"양천구",25323,24700,24561,24379,24614,24333,24221,24563,25275,25750,25720,26189,26297,26108
"강서구",28718,28749,29146,29177,29376,29783,32131,30724,31069,31596,32021,32789,33273,34662
"구로구",30048,30301,30215,29712,29778,29699,30466,32381,33784,35523,35352,36679,37445,38033
"금천구",20043,20576,21227,21821,22060,22511,23344,24520,26092,27651,28406,29557,30080,30987
"영등포구",40738,39955,38856,37220,38134,39516,39517,41084,40594,42157,42151,44099,44512,43678
"동작구",20308,20153,20361,20608,20369,20010,19688,19836,19895,20022,20035,20160,19609,19747
"관악구",27432,27406,26480,26621,25873,25724,25707,25797,25956,26294,26309,26396,26235,26377
"서초구",36697,35229,36347,36612,36266,35236,35076,36302,38535,42602,42882,45932,47061,46404
"강남구",51999,51414,53667,53233,53416,52288,52903,53494,57987,62448,62614,70262,73590,72281
"송파구",40102,40144,40400,40311,40451,40869,41082,40931,42778,43771,43503,44301,45375,45555
"강동구",28242,27604,27052,27125,27372,27343,27589,28124,28733,29694,29756,30481,30079,30268
"부산광역시",268339,267478,263638,262926,262906,258091,259973,259972,263356,270058,271983,277713,278850,283554
"중구",15726,15694,15062,15159,15102,14711,14582,14630,14714,15247,15022,15058,14969,15158
"서구",10299,10383,10166,10013,9963,9805,9701,9665,9521,9750,9631,9739,9682,9552
"동구",14452,14727,14153,14389,14337,14036,14038,14087,14036,14208,14393,14311,13957,13970
"영도구",10081,10015,10003,9843,9688,9476,9276,9330,9205,9213,9164,9160,9080,9211
"부산진구",35286,34343,34574,34160,33699,32712,34427,31932,32161,32735,32769,33093,33104,33486
"동래구",21821,21622,20918,20870,20888,20588,20609,20630,20724,20843,20479,20391,20383,20463
"남구",16488,16294,16399,16380,16485,16195,16247,16049,16338,16296,16196,16191,15763,15984
"북구",14412,14743,14424,14308,14504,14507,14561,14669,14697,14796,14758,14838,14911,15137
"해운대구",20241,20658,20186,20428,20449,20374,20844,21493,22152,23211,24139,25169,25483,26555
"사하구",21675,21719,21562,21502,21414,20907,20691,20951,21241,21760,21737,22047,21949,22190
"금정구",19398,19036,18122,17730,17763,17215,17199,17517,17651,18209,18003,18038,17883,17902
