행정구역별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
서울특별시,100,100,100,100,100,100,100,100,100,100,100,100
종로구,100,100,100,100,100,100,100,100,100,100,100,100
중구,100,100,100,100,100,100,100,100,100,100,100,100
용산구,100,100,100,100,100,100,100,100,100,100,100,100
성동구,100,100,100,100,100,100,100,100,100,100,100,100
광진구,100,100,100,100,100,100,100,100,100,100,100,100
동대문구,100,100,100,100,100,100,100,100,100,100,100,100
중랑구,100,100,100,100,100,100,100,100,100,100,100,100
성북구,100,100,100,100,100,100,100,100,100,100,100,100
강북구,100,100,100,100,100,100,100,100,100,100,100,100
도봉구,100,100,100,100,100,100,100,100,100,100,100,100
노원구,100,100,100,100,100,100,100,100,100,100,100,100
은평구,100,100,100,100,100,100,100,100,100,100,100,100
서대문구,100,100,100,100,100,100,100,100,100,100,100,100
마포구,100,100,100,100,100,100,100,100,100,100,100,100
양천구,100,100,100,100,100,100,100,100,100,100,100,100
강서구,100,100,100,100,100,100,100,100,100,100,100,100
구로구,100,100,100,100,100,100,100,100,100,100,100,100
금천구,100,100,100,100,100,100,100,100,100,100,100,100
영등포구,100,100,100,100,100,100,100,100,100,100,100,100
동작구,100,100,100,100,100,100,100,100,100,100,100,100
관악구,100,100,100,100,100,100,100,100,100,100,100,100
서초구,100,100,100,100,100,100,100,100,100,100,100,100
강남구,100,100,100,100,100,100,100,100,100,100,100,100
송파구,100,100,100,100,100,100,100,100,100,100,100,100
강동구,100,100,100,100,100,100,100,100,100,100,100,100
부산광역시,99.1,99.3,99.5,99.6,99.8,99.9,99.9,99.9,100,100,100,100
중구,100,100,100,100,100,100,100,100,100,100,100,100
서구,100,100,100,100,100,100,100,100,100,100,100,100
동구,100,100,100,100,100,100,100,100,100,100,100,100
영도구,100,100,100,100,100,100,100,100,100,100,100,100
부산진구,100,100,100,100,100,100,100,100,100,100,100,100
동래구,100,99.9,99.9,100,100,100,100,100,100,100,100,100
남구,98.9,100,100,100,100,100,100,100,100,100,100,100
북구,99.5,99.5,99.8,99.9,100,100,100,100,100,100,100,100
해운대구,99.8,99.8,99.9,100,100,100,100,100,100,100,100,100
사하구,100,100,100,100,100,100,100,100,100,100,100,100
금정구,97.9,98,98.8,99.4,99.4,99.4,99.4,99.8,99.8,100,100,100
강서구,98.3,98.4,99.1,100,100,100,100,100,100,100,100,100
연제구,99.5,99.5,99.7,99.5,99.5,99.5,99.5,99.6,99.6,99.6,100,100
수영구,99.8,99.8,99.9,100,100,100,100,100,100,100,100,100
사상구,99.5,99.5,99.9,100,100,100,100,100,100,100,100,100
기장군,77.2,81.7,83.6,84.9,93,97.1,98,98.1,99.9,100,100,100
대구광역시,99.4,99.6,99.6,99.7,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9
중구,100,100,100,100,100,100,100,100,100,100,100,100
동구,99.1,99.3,99.3,99.3,99.1,98.9,99,99.1,99.1,99.3,99.3,99.5
서구,100,100,100,100,100,100,100,100,100,100,100,100
남구,100,100,100,100,100,100,100,100,100,100,100,100
북구,99.9,100,100,100,100,100,100,100,100,100,100,100
수성구,99.8,99.9,99.9,100,100,100,100,100,100,100,100,100
달서구,100,100,100,100,100,100,100,100,100,100,100,100
달성군,93.4,95.3,95.7,96.4,98.1,99,99.2,99.6,99.8,99.9,100,100
인천광역시,97,97,97.6,97.6,97.7,97.9,98,98.3,98.4,98.4,98.5,98.6
중구,88.5,89.9,91.2,89.5,90.5,94,94.2,94.2,94.2,94.5,96.3,96.3
동구,100,100,100,100,100,100,100,100,100,100,100,100
남구,100,100,100,100,100,100,100,100,100,100,100,100
연수구,100,100,100,100,100,100,100,100,100,100,100,100
남동구,99.9,99.9,99.9,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
부평구,99.3,99.3,100,100,100,100,100,100,100,100,100,100
계양구,99.8,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100
서구,97.6,97.7,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
강화군,37.2,38.1,40.1,41.3,43.1,44.5,49.3,57.9,57.9,65.6,66.5,68.2
옹진군,8.6,10,13.6,16.5,17.2,21.6,24.2,23.4,23.4,24.1,24.6,26.1
광주광역시,97.8,97.9,97.9,97.9,98,98.5,99.4,99.5,99.5,99.6,99.6,99.8
동구,99.6,99.6,99.9,99.9,99.9,99.9,100,100,100,100,100,100
서구,98.7,99,99,99.4,99.4,99.4,99.9,100,100,99.9,100,100
남구,99.7,99.6,99.7,99.7,99.7,99.7,100,100,100,100,100,100
북구,99.2,99.3,99.3,99.3,99.3,99.1,99.7,99.6,99.7,99.7,99.8,99.8
광산구,92.3,93,93,92.8,93,95.7,98.1,98.3,98.5,98.8,98.8,99.5
대전광역시,98.4,98.8,99,99.2,99.4,99.5,99.6,99.7,99.7,99.8,99.9,99.9
동구,98.5,98.4,99.4,99.3,99.4,99.5,99.5,100,100,100,100,100
중구,97.9,99.4,99.1,99.2,99.3,99.4,99.5,99.8,99.8,99.8,100,100
서구,98.9,99.1,99,99.1,99.4,99.5,99.7,99.7,99.7,99.7,99.9,99.9
유성구,96.8,97.3,98.6,99,99.1,99.3,99.4,99.6,99.6,99.8,99.7,99.8
대덕구,99,99.1,99.2,99.6,99.6,99.6,99.7,99.7,99.7,99.8,100,100
울산광역시,91.5,92.4,93,93.5,95.4,96.5,96.6,97.4,97.5,97.8,98,98.1
중구,99.2,99.6,99.6,99.7,99.9,99.8,99.9,99.9,99.9,100,99.9,100
남구,99.7,99.9,99.9,99.9,100,99.9,100,100,99.9,100,99.9,100
동구,98.4,98.5,98.8,98.8,99.5,99.7,99.7,99.8,99.8,99.8,99.8,99.4
북구,85.6,86,86.5,88.6,95.3,97.9,98.2,98.9,99.1,99.2,99.6,99
울주군,62.1,66.1,70.5,72.7,78.3,82.4,83.2,86.9,87.4,88.8,90,91
경기도,91.2,91.7,92.3,93.4,94.4,95.3,95.7,96.4,96.9,97.5,97.6,97.9
수원시,99.3,99.6,99.6,99.8,99.8,99.9,99.7,99.9,99.9,100,100,100
성남시,99.8,99.9,99.8,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
의정부시,97.4,98.3,98.9,99.2,99.2,99.3,99.3,99.3,99.3,99.3,99.3,99.6
안양시,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100
부천시,99.9,100,100,100,100,100,100,100,100,100,100,100
광명시,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100,100,100
평택시,82.6,83,84,86.7,90.8,91,92.3,93.4,96.6,96.7,97.5,97.8
동두천시,91.5,91.9,96.5,96.6,96.7,96.8,96.9,99,99,99,99.1,99.3
안산시,99.2,99.2,99.3,99.6,99.6,99.6,99.6,99.6,99.7,99.8,99.8,99.8
고양시,96,96.5,96.5,96.6,98,98.6,98.8,99.1,99.2,99.3,99.5,99.6
과천시,98.4,98,97.4,99,99.8,99.4,99.2,99.2,99,99.5,99.7,99.7
구리시,99.7,99.7,99.9,99.9,99.9,100,99.9,99.9,100,100,99.9,99.9
남양주시,84.2,84.9,85.4,96,96,96,96.1,96.4,96.7,99.9,100,100
오산시,98.7,98.8,97.4,99,99.2,99.6,99.6,99.7,99.7,99.7,99.6,100
시흥시,99.1,99,99.5,99.3,99.3,99.5,99.6,99.7,99.8,99.8,99.8,99.9
군포시,99.7,99.9,99.9,99.9,100,100,100,99.9,100,100,100,100
의왕시,97.3,98.3,98.2,98.2,98.3,98.3,99.5,99.6,99.7,99.8,99.9,99.9
하남시,91.9,91,92.1,92.3,92.6,93.5,96.4,96.7,96.6,96.7,96.7,98
용인시,88.2,92.5,93.4,93.9,93.9,95.2,95.3,98,98.4,99.6,98.4,98.5
파주시,77.3,78.1,81.1,82.7,85.2,91.3,92,94.4,95.2,96,96.6,98.4
이천시,60.4,57.9,58.3,55.8,82.8,83.6,85.5,89.3,90.8,92,93,94
안성시,67.1,68.8,75,80.4,82.8,87.8,88.6,88.8,89.9,89.8,90.1,91.2
김포시,69.1,69.2,69.1,71.2,74.1,76.5,78.9,84.3,88.3,91.1,91.6,92.7
화성시,62.8,66.5,71.4,82.7,86.5,91.3,95.2,96.9,97.3,97.1,98.1,98.4
광주시,84.8,85.1,85.1,86.8,87.2,87.4,82.4,83.7,84.9,86.3,87.5,88.9
양주시,78.3,81.4,82.2,84.1,86.3,96,93.8,93.3,94.1,96.5,97,97.4
포천시,53.3,54.8,57.4,57.6,58.3,59.4,61,65.7,71.2,72.8,73.7,75.9
여주시,-,-,-,-,-,-,-,-,-,81.5,83.6,85.6
경기 여주군,46.5,48.8,59.4,60.9,62.9,67,68.5,71.8,75.2,-,-,-
연천군,90.2,90.6,90.8,90.7,90.7,91.1,91.2,91.9,92,93,93,94.3
가평군,61.1,63.2,63.4,63.5,65.6,66.3,68.4,70.4,72,73.4,75.5,77
양평군,36.1,37.1,37.6,37.8,39.3,42.6,49.7,52,55,64,64.1,65.6
