"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",976,949,923,908,890,883,873,866,857,866,869,884,888,879
"종로구",20,19,18,18,18,18,18,17,17,17,17,17,17,17
"중구",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"용산구",24,21,21,21,20,20,20,19,19,18,17,17,17,17
"성동구",41,43,40,39,37,33,33,31,30,29,29,30,31,31
"광진구",49,46,46,43,43,42,42,42,42,40,38,37,37,36
"동대문구",40,39,37,36,35,34,35,36,35,32,32,33,33,32
"중랑구",52,45,46,40,40,38,37,33,33,31,31,32,32,34
"성북구",52,51,48,50,52,53,54,55,55,54,55,55,55,52
"강북구",28,27,26,25,24,24,24,23,23,24,23,24,22,24
"도봉구",38,40,36,35,32,32,28,29,29,30,31,31,30,30
"노원구",81,79,74,75,73,70,70,71,72,73,70,70,69,67
"은평구",45,45,44,44,46,45,45,45,44,49,49,50,48,48
"서대문구",34,32,28,29,27,27,26,26,25,25,26,26,26,27
"마포구",31,29,29,30,30,31,30,32,32,32,29,28,28,28
"양천구",47,48,45,47,47,47,47,48,47,47,48,50,50,49
"강서구",44,45,46,45,45,46,47,47,44,45,45,46,52,52
"구로구",34,34,34,33,32,32,32,32,32,33,35,38,37,36
"금천구",25,23,20,19,19,18,17,17,17,19,19,19,18,17
"영등포구",46,42,43,43,44,45,43,42,40,41,41,41,42,42
"동작구",36,36,32,33,32,33,32,31,30,31,31,34,34,34
"관악구",36,37,39,39,38,38,38,37,37,39,36,36,36,36
"서초구",27,28,28,27,23,23,23,23,23,23,26,25,27,27
"강남구",36,34,36,34,34,35,34,33,33,33,38,40,43,41
"송파구",55,53,55,52,51,50,49,47,48,50,51,53,54,54
"강동구",42,40,39,38,35,36,36,37,37,38,39,39,37,35
"부산광역시",397,390,381,375,380,377,379,373,365,369,383,395,403,412
"중구",2,2,2,2,2,2,2,2,2,2,2,3,3,4
"서구",12,12,12,12,13,13,13,12,11,11,10,11,11,11
"동구",10,10,10,9,11,10,10,10,10,10,10,10,9,10
"영도구",18,17,16,16,16,16,16,16,15,15,15,15,15,15
"부산진구",45,44,44,44,45,45,45,45,45,46,47,48,48,48
"동래구",34,31,30,28,28,28,28,28,28,29,30,31,32,34
"남구",22,23,22,23,21,20,21,22,21,22,23,25,26,25
"북구",31,34,29,29,30,29,30,31,31,31,32,32,32,34
"해운대구",37,35,35,34,37,38,37,37,37,38,39,39,42,42
"사하구",45,45,44,42,41,42,43,42,42,40,41,43,44,45
"금정구",29,29,27,27,27,26,26,26,26,27,28,27,28,27
"강서구",18,18,18,18,18,18,18,16,12,12,13,13,14,16
"연제구",19,17,17,17,16,16,16,15,14,15,16,17,17,17
"수영구",24,26,24,23,24,23,23,22,21,21,20,20,20,20
"사상구",32,28,31,31,31,31,31,30,30,29,30,31,31,31
"기장군",19,19,20,20,20,20,20,19,20,21,27,30,31,33
"대구광역시",268,273,276,281,286,295,303,310,322,343,361,375,392,375
"중구",13,13,14,14,14,14,13,13,12,12,12,12,13,12
"동구",32,35,35,36,37,39,42,43,45,52,53,57,60,63
"서구",19,19,19,17,17,17,18,18,18,22,23,24,24,24
"남구",16,16,15,15,15,15,15,15,15,15,16,16,19,16
"북구",54,57,57,60,61,64,65,68,68,70,73,76,78,76
"수성구",37,35,34,36,39,40,41,43,47,50,55,59,62,55
"달서구",70,70,70,69,69,70,73,74,77,80,85,89,90,85
"달성군",27,28,32,34,34,36,36,36,40,42,44,42,46,44
"인천광역시",310,311,313,318,334,356,370,380,381,389,411,412,418,427
"중구",12,13,14,13,13,14,13,13,12,13,14,15,17,17
"동구",10,10,11,11,11,11,11,11,13,12,12,12,12,13
"남구",38,39,37,36,37,40,41,41,41,43,45,44,44,45
"연수구",30,28,28,29,30,31,33,33,35,36,37,37,38,40
"남동구",46,47,45,47,51,57,64,68,71,71,76,78,82,87
"부평구",61,59,57,58,61,65,66,69,68,71,72,70,69,69
"계양구",35,33,34,34,36,38,39,39,39,39,41,40,39,39
"서구",45,49,53,55,60,65,67,70,70,72,82,84,86,86
"강화군",23,23,23,24,24,24,25,25,21,21,21,21,21,21
"옹진군",10,10,11,11,11,11,11,11,11,11,11,11,10,10
"광주광역시",230,241,235,235,237,234,246,248,258,278,295,308,315,321
"동구",20,20,19,18,18,15,15,15,16,17,16,16,16,17
"서구",55,59,56,54,51,53,54,52,53,58,59,61,60,60
"남구",36,34,31,31,32,33,35,36,38,38,42,43,45,45
"북구",69,76,74,77,80,77,80,81,84,88,98,102,106,106
"광산구",50,52,55,55,56,56,62,64,67,77,80,86,88,93
"대전광역시",211,209,214,224,232,237,237,237,239,252,260,265,268,269
"동구",31,34,32,35,36,38,38,38,37,38,38,39,39,38
"중구",32,30,33,35,37,38,39,39,40,40,41,43,43,43
"서구",75,76,76,77,77,75,73,72,71,75,77,77,80,81
"유성구",37,35,37,41,46,52,53,54,57,65,71,73,73,73
"대덕구",36,34,36,36,36,34,34,34,34,34,33,33,33,34
"울산광역시",183,180,181,175,180,184,182,181,185,186,193,196,194,196
"중구",29,29,29,27,28,30,30,29,30,30,34,36,36,37
"남구",46,48,48,48,47,47,45,45,45,45,47,46,46,46
"동구",23,22,21,21,23,23,23,23,23,24,26,26,25,25
"북구",31,31,32,32,33,33,33,32,35,35,34,36,36,37
"울주군",54,50,51,47,49,51,51,52,52,52,52,52,51,51
"경기도",1698,1699,1761,1800,1835,1883,1912,1950,1986,2034,2087,2137,2188,2234
"수원시",154,155,158,155,159,164,170,167,167,173,182,188,191,196
"성남시",118,118,118,114,111,110,113,115,118,119,120,123,125,131
"의정부시",54,58,59,59,62,64,64,64,64,64,62,63,64,67
"안양시",97,85,89,87,85,84,83,82,81,85,86,88,86,87
"부천시",110,110,105,106,110,112,113,114,113,116,119,122,123,124
"광명시",44,45,47,47,47,46,46,47,48,49,50,51,51,51
"평택시",87,84,87,89,92,98,96,97,101,101,101,103,104,107
"동두천시",16,18,19,19,19,19,19,20,20,20,20,19,19,19
"안산시",75,75,80,86,88,89,91,94,95,95,96,98,99,100
"고양시",144,143,146,149,150,153,148,148,149,150,154,161,167,174
"과천시",11,10,10,9,8,6,6,7,7,8,8,8,8,8
"구리시",34,34,35,35,35,32,32,33,33,32,32,32,31,33
"남양주시",72,70,75,80,80,82,86,90,92,95,96,100,108,109
"오산시",23,24,24,25,26,29,29,35,40,42,47,48,49,50
"시흥시",43,43,46,50,50,52,55,58,60,60,60,61,61,63
"군포시",42,40,40,38,43,41,41,43,43,43,49,49,49,49
"의왕시",21,23,21,20,20,20,21,20,20,21,23,23,24,24
"하남시",18,18,19,20,20,21,21,22,22,22,22,22,27,28
"용인시",81,89,110,123,129,134,140,143,149,155,158,165,169,170
"파주시",63,63,68,73,74,73,75,80,85,88,93,98,99,99
"이천시",51,50,51,51,50,50,50,49,49,50,51,51,52,53
"안성시",41,42,43,42,43,43,45,46,49,49,52,52,52,51
"김포시",42,42,42,45,44,46,48,52,56,65,72,74,81,84
"화성시",62,63,69,73,82,99,104,109,112,116,118,120,131,139
"광주시",28,31,33,34,35,36,36,35,37,38,38,39,39,38
"양주시",31,31,31,33,33,38,39,41,41,44,45,46,47,47
"포천시",37,37,38,38,41,42,42,42,42,42,42,42,41,41
"여주시",-,-,-,-,-,-,-,-,-,-,-,35,35,35
"경기 여주군",33,33,33,34,35,35,35,35,35,35,35,-,-,-
"연천군",17,17,17,17,16,16,16,16,14,14,14,14,14,14
"가평군",17,17,17,18,18,19,19,18,17,17,16,16,16,16
"양평군",32,31,31,31,30,30,29,28,27,26,26,26,26,27
"강원도",427,424,416,413,415,410,404,397,393,379,379,385,386,379
"춘천시",42,39,38,40,40,40,39,39,39,40,40,42,43,46
"원주시",55,57,59,58,63,62,63,61,61,65,66,70,71,73
"강릉시",49,47,46,45,45,43,40,40,40,40,40,41,44,38
"동해시",22,22,23,22,22,22,23,23,22,22,22,22,22,18
"태백시",18,17,17,17,17,17,17,15,16,15,15,15,15,13
"속초시",15,16,15,15,12,12,12,12,12,12,12,12,9,9
"삼척시",26,26,21,21,21,20,20,20,20,18,18,19,18,18
"홍천군",28,28,28,28,28,29,28,27,26,26,26,25,25,25
"횡성군",19,19,17,17,17,17,15,15,14,14,14,13,13,13
"영월군",19,19,19,19,18,18,18,18,16,15,15,15,15,15
"평창군",20,21,22,22,22,22,22,21,21,17,17,17,17,17
"정선군",21,21,22,21,21,21,20,19,19,16,15,15,15,15
"철원군",19,19,18,18,18,17,17,17,17,13,13,13,13,13
"화천군",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"양구군",12,12,11,11,11,10,10,10,10,9,9,9,9,9
"인제군",19,20,20,19,19,19,19,19,19,17,17,17,17,17
"고성군",12,12,11,11,11,11,11,11,11,11,11,11,11,11
"양양군",17,15,15,15,16,16,16,16,16,15,15,15,15,15
"충청북도",341,343,347,345,346,348,347,346,344,344,341,344,343,345
"충북 청주시",90,93,96,95,97,97,98,97,95,97,98,102,-,-
"충주시",48,47,47,47,46,49,48,48,48,47,46,46,45,45
"제천시",36,36,36,36,36,36,36,35,35,35,35,35,34,35
"청주시",-,-,-,-,-,-,-,-,-,-,-,-,138,139
"충북 청원군",31,32,32,33,35,34,34,34,33,33,33,35,-,-
"보은군",18,18,18,18,17,17,17,17,16,16,16,16,16,16
"옥천군",20,18,18,18,19,19,19,20,20,19,18,17,17,17
"영동군",18,18,18,18,18,18,18,18,18,18,18,16,16,16
"진천군",16,17,17,17,17,17,17,17,18,18,17,17,17,17
"괴산군",24,24,18,17,17,17,16,16,16,16,16,16,16,16
"음성군",24,24,27,26,25,25,25,25,25,24,24,25,25,25
"단양군",16,16,15,15,14,14,14,14,14,14,14,14,14,14
"증평군",-,-,5,5,5,5,5,5,6,7,6,5,5,5
"충청남도",547,543,546,541,520,526,530,531,532,534,507,506,503,509
"천안시",89,89,92,92,92,97,100,102,104,104,108,108,107,110
"공주시",48,47,45,45,41,39,39,39,39,38,36,36,36,35
"보령시",38,38,39,37,37,36,35,35,36,36,35,33,33,33
"아산시",40,40,40,40,38,42,45,49,52,56,53,55,55,58
"서산시",44,42,44,42,39,40,40,41,41,41,41,41,41,41
"논산시",43,44,39,39,38,37,37,35,34,33,33,33,32,32
"계룡시",-,-,6,8,9,9,9,9,9,9,8,8,8,8
"당진시",-,-,-,-,-,-,-,-,-,-,35,35,36,36
"금산군",19,19,19,19,19,19,19,19,18,18,17,17,17,17
"충남 연기군",19,19,19,19,19,19,20,19,19,20,-,-,-,-
"부여군",34,34,34,34,33,31,30,28,27,28,28,28,28,28
"서천군",22,22,22,22,19,20,20,20,20,20,20,20,20,20
"청양군",19,19,18,16,15,15,15,14,14,13,13,13,13,13
"홍성군",32,32,32,32,30,31,31,31,29,28,28,27,26,27
"예산군",34,33,32,32,30,30,29,29,29,29,29,29,28,28
"태안군",27,27,27,26,25,25,25,25,25,25,23,23,23,23
"충남 당진군",39,38,38,38,36,36,36,36,36,36,-,-,-,-
"전라북도",516,522,520,516,514,512,512,512,516,523,523,526,530,532
"전주시",102,104,103,103,104,107,108,112,115,119,118,116,120,123
"군산시",53,56,57,57,57,55,56,58,61,64,67,68,67,70
"익산시",84,87,86,85,88,88,87,87,85,85,85,87,87,86
"정읍시",48,48,48,49,47,47,48,45,45,44,43,43,43,43
"남원시",34,32,32,32,32,31,30,29,29,29,29,29,29,29
"김제시",41,41,41,41,40,40,40,40,40,41,41,42,41,40
"완주군",32,33,33,32,32,32,32,32,32,32,33,34,37,36
"진안군",15,15,15,15,15,14,13,13,13,13,12,12,12,12
"무주군",12,12,12,12,11,10,10,10,10,10,9,9,9,9
"장수군",10,10,10,10,10,10,10,9,9,9,9,9,9,8
"임실군",14,14,14,14,14,15,15,15,15,15,15,15,14,14
"순창군",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"고창군",28,27,26,25,23,22,22,22,22,22,22,22,22,22
"부안군",28,28,28,26,26,26,26,25,25,25,25,25,25,25
"전라남도",663,642,633,622,609,597,582,567,553,551,546,551,552,553
"목포시",50,50,54,54,55,54,54,54,54,54,54,55,55,58
"여수시",83,83,79,78,74,75,73,72,71,73,72,75,75,76
"순천시",63,61,60,60,59,59,59,59,56,56,58,59,61,62
"나주시",37,35,34,32,31,29,28,26,25,25,24,25,26,27
"광양시",46,46,45,42,41,40,40,38,38,38,39,39,39,39
"담양군",19,19,19,18,18,17,18,18,17,17,15,15,15,15
"곡성군",15,9,8,8,8,8,8,8,8,8,8,8,8,8
"구례군",12,12,12,12,12,12,12,12,12,12,12,12,12,12
"고흥군",30,30,29,30,28,28,26,25,25,23,23,23,22,21
"보성군",24,23,22,22,22,22,22,22,22,22,21,21,20,20
"화순군",23,23,23,23,21,20,19,19,19,19,19,19,19,19
"장흥군",19,18,18,18,18,17,17,17,17,17,17,17,17,16
"강진군",15,15,15,15,15,15,14,14,14,14,14,14,14,14
"해남군",39,36,36,36,36,33,32,28,25,25,25,23,23,24
"영암군",21,21,21,22,22,22,22,21,19,19,18,18,18,18
"무안군",27,24,24,22,20,20,18,18,18,19,19,21,21,21
"함평군",15,15,14,14,14,14,13,12,12,12,12,12,12,12
"영광군",26,26,26,25,25,25,24,23,22,22,20,19,19,16
"장성군",18,18,18,18,17,16,16,16,15,15,16,16,16,16
"완도군",26,26,27,25,25,25,24,24,24,24,24,25,25,24
"진도군",22,21,20,20,20,19,17,16,15,15,14,13,13,13
"신안군",33,31,29,28,28,27,26,25,25,22,22,22,22,22
"경상북도",721,718,723,730,715,706,697,693,696,701,703,716,711,707
"포항시",94,92,93,93,91,92,95,98,106,113,114,115,116,115
"경주시",64,64,65,66,66,64,63,62,61,63,63,62,62,62
"김천시",41,40,40,40,39,39,38,36,36,36,36,36,36,36
"안동시",42,42,42,42,41,42,40,41,41,41,42,42,42,41
"구미시",71,73,75,78,78,76,79,81,82,86,89,98,99,99
"영주시",29,29,29,30,30,29,29,28,27,26,26,26,26,26
"영천시",30,31,31,31,29,28,28,28,27,25,25,25,23,23
"상주시",44,44,43,43,40,40,39,39,38,38,36,36,36,36
"문경시",27,27,27,28,28,28,27,26,26,26,26,26,26,26
"경산시",50,50,53,55,55,55,53,52,55,56,58,62,67,67
"군위군",12,12,12,12,12,11,11,11,10,8,8,8,8,8
"의성군",22,22,21,21,21,20,20,20,19,19,18,17,16,15
"청송군",9,9,9,9,9,9,9,9,9,9,8,8,8,8
"영양군",10,10,10,10,9,9,9,9,9,9,9,9,8,8
"영덕군",18,18,18,18,17,17,15,15,14,12,12,12,11,11
"청도군",20,20,20,20,18,18,18,18,18,17,17,17,15,15
"고령군",17,17,17,17,16,14,13,12,11,11,11,11,10,10
"성주군",17,17,17,17,17,17,17,17,17,16,16,16,16,16
"칠곡군",36,35,36,35,35,35,35,34,35,35,35,36,34,34
"예천군",19,17,17,17,15,14,13,13,13,13,13,13,13,13
"봉화군",20,20,20,20,20,20,19,18,16,17,17,17,17,17
"울진군",22,22,21,21,22,22,20,19,19,19,18,18,16,15
"울릉군",7,7,7,7,7,7,7,7,7,6,6,6,6,6
"경상남도",690,687,691,696,690,686,689,688,688,679,683,682,679,686
"경남 창원시",96,95,95,94,95,95,95,92,-,-,-,-,-,-
"경남 마산시",69,67,67,67,67,67,66,66,-,-,-,-,-,-
"진주시",63,62,62,63,56,56,54,52,51,51,52,51,52,52
"경남 진해시",28,29,30,31,31,31,34,35,-,-,-,-,-,-
"통영시",33,32,33,33,34,34,34,32,31,31,31,31,30,30
"사천시",30,27,27,27,27,25,25,25,25,24,24,24,21,20
"김해시",68,71,76,79,83,81,83,84,86,89,90,88,87,92
"밀양시",34,33,33,33,31,31,29,29,29,29,29,28,27,25
"거제시",40,40,40,42,43,45,48,50,50,50,52,54,57,57
"양산시",47,49,50,52,52,52,53,55,56,56,59,59,59,62
"창원시",-,-,-,-,-,-,-,-,193,191,192,193,192,194
"의령군",14,14,14,14,14,14,14,14,14,14,10,10,10,10
"함안군",24,24,22,22,22,22,22,22,22,21,21,21,21,21
"창녕군",24,24,24,24,22,23,22,22,22,22,22,22,22,22
"고성군",22,21,21,19,19,19,19,19,19,18,18,18,18,18
"남해군",15,15,15,14,13,12,12,12,11,10,10,10,10,10
"하동군",22,22,21,21,19,17,17,17,17,15,15,15,15,15
"산청군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"함양군",13,13,13,13,13,13,13,13,13,12,12,12,12,12
"거창군",15,16,15,15,16,16,16,16,16,16,16,16,16,16
"합천군",20,20,20,20,20,20,20,20,20,17,17,17,17,17
"제주특별자치도",114,115,115,111,111,110,110,109,109,110,112,114,117,118
"제주시",-,-,-,-,-,-,-,-,67,68,70,72,73,74
"서귀포시",-,-,-,-,-,-,-,-,42,42,42,42,44,44
