"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",1.64,1.82,2.12,2.26,2.12,2.38,2.77,2.74,2.82,2.93,3.19,3.39,3.55,3.68
"종로구",22.53,24.09,25.99,29.98,31.96,32.81,33.81,33.42,35.04,34.50,35.61,37.58,39.36,41.90
"중구",7.43,8.34,10.77,9.18,10.00,11.51,12.36,12.05,13.51,15.00,17.63,17.96,19.09,19.16
"용산구",3.88,4.78,5.21,4.31,5.51,5.04,5.45,5.31,5.27,5.76,5.42,5.93,6.00,6.08
"성동구",0.59,0.59,0.59,0.90,1.50,2.55,2.60,2.59,2.33,3.34,3.34,3.72,4.71,4.68
"광진구",1.04,1.05,1.33,1.34,1.33,1.86,1.87,1.86,2.42,1.89,2.44,2.75,2.50,2.52
"동대문구",1.57,1.58,1.84,2.11,2.13,2.43,3.04,3.00,2.46,2.20,2.75,3.30,3.33,2.82
"중랑구",0.92,0.92,1.17,0.47,0.70,0.70,0.71,0.70,0.71,0.95,0.96,0.96,0.97,0.97
"성북구",1.99,2.00,1.73,1.90,1.92,1.90,2.31,2.25,2.68,2.70,2.73,3.21,3.48,3.55
"강북구",0.55,0.55,1.13,1.15,1.45,1.46,1.47,1.44,2.03,2.33,2.66,3.28,2.72,3.36
"도봉구",1.06,1.05,1.05,1.06,1.33,1.60,1.89,1.90,2.19,2.21,2.23,2.26,2.85,3.45
"노원구",0.63,0.80,0.96,1.46,1.13,1.14,1.47,1.47,1.49,1.67,2.37,2.40,2.61,2.47
"은평구",0.63,0.84,1.06,1.08,0.65,0.87,1.50,1.43,1.01,1.00,1.39,1.80,2.41,2.44
"서대문구",2.53,2.56,3.15,3.15,2.58,2.71,3.05,3.08,3.49,3.49,3.82,4.19,4.49,4.14
"마포구",1.05,1.04,1.29,1.28,1.02,1.82,1.82,1.79,2.05,2.34,2.62,2.85,2.84,3.16
"양천구",1.03,1.41,1.20,1.59,0.99,1.00,1.79,1.80,1.00,1.41,1.62,1.65,1.44,1.67
"강서구",0.93,1.11,1.44,1.44,0.71,1.04,2.09,2.09,1.41,1.76,2.11,2.05,2.21,2.35
"구로구",0.97,1.20,1.20,1.19,1.66,1.90,2.13,2.12,3.04,3.04,3.06,3.05,3.08,3.11
"금천구",0.38,0.39,0.39,0.39,1.20,1.62,2.04,2.04,2.46,2.06,2.49,2.52,2.54,2.55
"영등포구",0.74,0.74,0.98,0.98,0.98,1.72,2.22,2.21,2.26,2.30,2.33,2.35,2.64,2.97
"동작구",0.49,0.49,0.49,0.49,0.49,0.75,1.01,0.99,1.00,0.99,1.46,1.72,1.75,1.75
"관악구",1.53,1.70,2.08,2.62,1.49,1.50,2.08,2.07,1.90,1.91,1.93,1.95,1.96,1.97
"서초구",2.28,2.00,2.49,2.94,2.46,2.46,2.59,2.53,3.00,2.76,3.17,3.34,3.13,3.13
"강남구",1.70,2.63,3.51,3.77,3.03,3.59,3.91,3.86,4.07,4.08,4.26,4.32,4.16,4.41
"송파구",1.13,1.49,1.82,1.81,1.44,1.35,1.91,1.90,1.47,1.93,2.09,2.11,2.73,2.89
"강동구",0.84,0.85,1.51,1.52,1.08,1.28,1.44,1.42,1.82,1.84,1.86,1.89,1.96,2.03
"부산광역시",1.14,1.17,1.43,1.47,1.53,1.49,1.83,1.82,2.06,2.15,2.21,2.24,2.48,2.77
"중구",3.68,3.76,9.62,9.85,6.00,6.05,8.18,8.09,6.16,6.23,10.56,10.70,10.91,8.85
"서구",2.08,2.11,2.15,2.20,1.51,1.55,3.18,3.17,2.42,3.31,3.37,3.39,4.31,3.54
"동구",3.40,3.50,2.73,2.81,1.91,1.95,3.95,3.94,3.98,4.06,4.17,4.23,4.34,4.45
"영도구",1.17,1.20,1.23,1.26,0.64,0.66,2.03,2.04,2.79,3.58,3.68,3.78,3.86,4.75
"부산진구",0.73,0.74,1.22,1.23,1.24,1.25,1.52,1.52,1.77,1.53,1.54,1.55,1.57,2.12
"동래구",1.06,1.07,1.45,1.43,1.75,1.77,1.78,1.77,1.76,1.79,1.81,1.81,2.57,2.93
"남구",1.95,1.97,1.99,2.01,2.02,2.01,2.35,2.35,2.71,2.75,2.74,2.79,3.18,3.59
"북구",0.61,0.60,1.19,1.21,1.23,1.25,1.27,1.28,1.95,1.92,1.94,1.95,1.93,2.90
"해운대구",1.24,1.24,1.24,1.43,1.89,1.65,1.65,1.64,2.11,2.34,2.35,2.36,2.37,2.38
"사하구",0.53,0.53,0.54,0.55,0.55,0.55,0.56,0.56,1.13,1.13,1.15,1.16,1.18,1.49
"금정구",1.46,1.84,1.89,1.90,2.70,2.34,2.78,2.74,3.14,3.13,3.16,3.20,3.25,3.27
"강서구",1.77,1.83,1.86,1.88,3.86,3.83,3.31,3.20,3.09,4.56,4.29,3.77,3.17,2.75
"연제구",0.44,0.45,0.46,0.47,0.94,0.94,0.95,0.94,0.94,0.95,0.96,1.44,1.42,1.93
"수영구",0.56,0.55,0.56,0.56,0.56,0.56,1.69,1.68,1.70,1.70,1.71,1.68,1.67,1.67
"사상구",0.69,0.71,1.08,1.11,1.13,1.15,1.18,1.16,1.18,1.20,1.22,1.23,1.26,1.72
"기장군",1.29,1.25,2.50,2.52,2.51,2.46,2.24,1.95,1.85,1.75,1.51,1.38,3.92,4.42
"대구광역시",0.91,1.07,1.11,1.24,1.60,1.73,1.89,1.87,2.35,2.43,2.56,2.65,2.89,2.94
"중구",4.79,6.26,6.24,6.36,6.32,6.34,7.73,7.71,11.75,11.93,13.12,12.69,12.36,13.80
"동구",0.59,0.87,1.16,1.78,2.38,2.72,2.41,2.37,2.34,2.34,2.62,2.30,2.57,2.85
"서구",0.76,0.77,0.80,0.82,1.26,1.31,1.33,1.34,1.80,1.82,1.86,1.90,1.94,2.00
"남구",2.69,2.76,2.78,1.66,1.68,1.71,1.75,1.75,1.77,2.37,2.41,2.45,2.49,2.56
"북구",0.67,0.65,0.65,0.64,1.08,1.30,1.76,1.77,2.22,2.23,2.03,2.25,2.71,2.72
"수성구",0.45,0.45,0.46,0.45,0.89,0.89,1.53,1.52,2.39,2.61,2.60,2.85,3.10,3.13
"달서구",0.66,1.00,1.01,1.53,1.69,1.85,1.67,1.65,1.98,1.98,2.13,2.14,2.32,2.03
"달성군",0.63,0.64,0.63,0.63,1.25,1.17,1.14,1.12,1.11,1.08,1.63,2.16,2.59,2.75
"인천광역시",0.89,0.89,0.88,0.91,1.54,1.75,2.25,2.21,2.57,2.74,2.85,3.03,3.32,3.26
"중구",1.17,1.11,1.08,1.09,3.34,3.38,6.69,6.46,8.55,8.11,9.28,10.72,13.97,13.88
"동구",1.24,1.23,1.28,1.32,2.70,2.67,2.59,2.51,3.81,3.91,4.00,4.06,4.13,4.22
"남구",0.92,0.93,0.95,0.96,1.45,1.90,3.10,3.07,3.35,3.62,3.65,3.67,3.70,3.60
"연수구",0.78,0.78,0.75,1.11,2.23,2.23,2.21,2.15,2.43,2.39,2.33,2.57,2.82,3.35
"남동구",0.76,0.78,0.79,0.51,0.71,0.89,1.29,1.27,1.41,1.59,1.58,1.94,1.88,1.88
"부평구",0.36,0.36,0.35,0.53,1.05,1.05,1.24,1.23,1.78,2.15,2.33,2.33,2.34,2.18
"계양구",0.59,0.59,0.60,0.58,0.88,1.17,1.45,1.44,1.74,2.05,2.33,2.36,2.39,2.12
"서구",0.58,0.55,0.53,0.52,1.25,1.53,1.77,1.72,1.83,1.92,1.84,1.80,2.18,2.15
"강화군",7.69,7.68,7.65,7.63,9.03,10.39,11.93,11.92,11.98,11.98,11.99,13.41,16.26,14.70
"옹진군",7.01,6.75,6.41,6.06,5.89,5.76,5.49,5.34,5.13,4.99,4.83,4.83,4.77,4.68
"광주광역시",2.01,2.21,2.21,2.27,2.33,2.60,2.93,2.89,2.87,3.13,3.39,3.66,3.80,3.88
"동구",5.15,6.80,6.99,7.01,6.95,9.09,10.21,10.53,11.27,12.31,13.59,12.90,14.17,15.66
"서구",1.27,1.58,1.61,1.62,1.63,1.97,2.33,2.31,2.20,2.53,2.54,2.90,3.28,2.91
"남구",1.85,1.88,1.86,1.89,2.39,2.35,2.34,2.31,2.74,2.75,3.24,4.09,3.61,3.64
"북구",2.16,2.18,2.42,2.39,2.15,2.11,2.77,2.78,2.47,2.93,3.37,3.57,3.81,3.85
