"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"서울특별시",1.30,1.35,1.49,1.52,1.85,3.68,5.05,6.54,6.66,6.95,7.49,7.56,7.67
"종로구",2.82,4.01,4.13,3.60,4.22,12.30,10.68,9.97,10.69,10.29,10.62,9.55,10.32
"중구",2.23,1.52,1.54,1.53,1.54,3.84,3.86,3.76,3.75,3.75,6.13,7.03,7.16
"용산구",2.16,2.17,3.04,3.02,3.82,3.78,4.19,5.31,5.68,5.34,5.01,5.09,5.14
"성동구",0.29,0.29,0.59,0.60,0.60,1.27,1.62,1.94,2.33,2.00,2.34,2.36,2.36
"광진구",-,-,-,-,0.27,1.33,4.01,6.39,6.45,6.73,6.78,6.88,7.77
"동대문구",0.52,0.53,0.79,0.79,1.06,4.59,5.52,7.09,6.84,7.16,7.96,8.25,8.33
"중랑구",0.23,0.23,0.23,0.47,0.47,1.40,3.06,5.38,6.61,7.63,11.52,11.22,11.36
"성북구",1.77,2.00,1.73,1.69,1.92,4.23,5.46,5.52,5.57,6.43,7.34,7.93,8.27
"강북구",0.55,0.83,1.13,1.15,1.16,3.80,7.05,9.52,9.56,8.74,11.22,11.34,11.79
"도봉구",0.53,0.52,0.79,0.79,1.33,2.41,5.95,10.32,10.12,10.21,13.11,15.27,15.09
"노원구",1.58,1.43,1.77,1.78,1.95,2.60,4.26,5.73,6.46,6.87,8.13,8.58,7.83
"은평구",1.68,2.09,2.12,2.15,3.05,5.89,7.73,10.04,8.31,8.38,7.94,7.62,8.03
"서대문구",1.12,0.57,1.15,1.43,2.87,5.73,8.55,11.09,11.12,11.42,10.51,11.28,9.93
"마포구",1.32,2.09,1.80,1.79,2.55,3.89,5.47,6.12,6.42,6.24,5.24,4.41,4.64
"양천구",0.82,0.81,0.80,0.80,0.99,2.39,3.79,6.80,7.40,7.86,7.51,8.43,8.26
"강서구",0.93,1.11,1.08,1.08,1.43,4.16,5.41,7.49,7.20,7.05,7.56,7.52,7.47
"구로구",1.94,1.92,2.16,2.14,2.14,3.80,4.27,5.19,4.91,5.85,6.12,6.58,6.87
"금천구",0.77,0.77,1.17,1.18,1.61,6.87,8.58,10.20,10.27,13.56,10.79,10.90,11.85
"영등포구",2.48,2.46,2.69,2.69,3.43,5.39,6.16,7.37,7.55,7.66,7.76,8.11,8.98
"동작구",1.95,2.19,2.19,2.20,2.46,3.24,4.02,4.72,4.98,4.44,5.11,5.15,5.49
"관악구",1.15,1.13,1.13,1.12,1.31,3.74,5.10,6.59,7.03,8.03,8.11,8.38,8.63
"서초구",0.25,0.25,0.25,0.49,0.49,1.72,2.59,3.45,3.46,3.68,3.17,2.89,2.91
"강남구",1.32,1.13,1.48,1.44,1.78,2.51,2.49,2.98,2.65,2.84,2.84,3.46,2.95
"송파구",0.65,0.83,0.83,0.99,1.12,2.39,3.82,4.82,4.98,4.90,5.83,4.81,5.00
"강동구",1.47,1.49,1.51,1.52,1.51,2.77,4.54,6.30,6.66,7.58,9.31,7.97,8.50
"부산광역시",2.19,2.32,2.58,2.96,3.21,4.21,5.11,6.47,5.97,7.32,5.75,5.80,5.83
"중구",5.52,-,-,-,-,8.07,8.18,4.05,4.11,2.08,2.11,2.14,2.18
"서구",7.62,9.83,11.46,10.28,12.05,16.23,15.90,18.25,19.40,14.07,13.47,14.39,13.80
"동구",0.85,0.88,0.91,1.87,1.91,1.95,1.98,2.96,2.99,6.09,4.17,4.23,4.34
"영도구",2.94,3.01,3.07,3.15,3.86,3.29,3.38,4.09,4.19,5.01,5.15,5.30,5.41
"부산진구",0.73,0.74,0.73,0.49,0.75,1.00,1.52,3.28,2.28,3.82,3.08,3.87,2.88
"동래구",1.77,2.15,2.17,2.86,2.46,2.48,3.91,6.01,5.29,6.82,5.42,5.44,5.86
