"행정구역별",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",2.86,2.92,3.15,3.30,3.40,3.48,3.56,3.76,3.82,3.89,3.99
"종로구",13.32,13.68,14.69,14.98,14.84,14.06,14.59,17.84,18.61,18.44,18.38
"중구",6.99,7.11,8.31,8.59,9.51,9.84,10.24,10.64,10.35,10.16,10.51
"용산구",3.43,3.41,3.54,3.62,3.45,2.88,2.91,2.91,3.05,3.12,3.20
"성동구",2.74,2.86,3.18,3.07,3.10,3.26,3.22,3.33,3.32,3.32,3.11
"광진구",2.21,2.30,2.61,2.71,2.89,3.07,3.11,3.23,3.30,3.34,3.42
"동대문구",4.50,4.73,4.65,5.06,5.15,5.29,5.29,5.17,4.35,4.74,4.93
"중랑구",1.24,1.30,1.37,1.42,1.42,1.85,1.93,1.96,2.01,2.09,2.18
"성북구",2.29,2.23,2.47,2.45,2.38,2.17,2.32,2.53,2.74,2.71,2.71
"강북구",1.48,1.57,1.60,1.67,1.69,1.75,1.80,1.80,1.86,1.94,1.97
"도봉구",1.37,1.38,1.45,1.58,1.59,1.59,1.62,1.70,1.72,1.76,1.79
"노원구",2.31,2.34,2.45,2.58,2.61,2.66,2.69,2.79,2.82,2.90,2.97
"은평구",1.42,1.45,1.51,1.52,1.55,1.57,1.63,1.67,1.73,1.78,1.83
"서대문구",3.83,3.46,5.12,4.66,5.79,5.36,5.52,6.57,6.68,6.71,6.43
"마포구",1.64,1.69,1.82,1.87,1.82,1.93,1.99,2.07,2.18,2.23,2.37
"양천구",2.23,2.31,2.43,2.58,2.60,2.56,2.60,2.65,2.80,2.84,2.92
"강서구",1.40,1.44,1.53,1.62,1.67,1.77,1.84,1.85,1.82,1.84,1.93
"구로구",1.86,1.94,2.10,2.40,2.41,2.40,2.54,2.73,2.76,2.96,3.09
"금천구",1.17,1.33,1.37,1.42,1.49,1.56,1.67,1.79,1.90,1.96,2.11
"영등포구",4.16,4.21,4.28,4.60,4.50,4.79,4.62,4.55,4.64,4.67,4.83
"동작구",2.09,2.23,2.27,2.46,2.50,3.07,3.15,3.16,3.19,3.30,3.37
"관악구",1.34,1.38,1.39,1.50,1.54,1.57,1.59,1.66,1.71,1.75,1.79
"서초구",3.37,3.50,4.03,4.05,4.18,4.47,4.56,5.56,5.65,5.74,5.83
"강남구",7.23,7.67,8.36,8.75,9.04,9.31,9.70,9.98,10.00,10.11,10.55
"송파구",3.46,3.10,3.00,3.60,3.96,4.13,4.18,4.20,4.43,4.51,4.67
"강동구",2.88,2.97,3.27,3.35,3.29,3.41,3.44,3.80,3.86,4.07,4.36
"부산광역시",2.20,2.30,2.40,2.46,2.56,2.68,2.77,2.88,2.97,3.06,3.12
"중구",6.70,6.60,6.62,6.28,6.17,6.41,6.31,6.61,6.55,6.59,6.48
"서구",9.21,9.89,10.66,10.84,10.60,10.87,11.28,11.80,12.12,12.46,13.01
"동구",3.75,3.95,4.03,4.08,4.03,4.23,4.33,4.53,4.84,5.30,5.27
"영도구",1.42,1.46,1.51,1.61,1.55,1.58,1.70,1.75,1.87,1.98,2.07
"부산진구",3.30,3.41,3.52,3.67,3.74,3.90,4.08,4.31,4.40,4.54,4.66
"동래구",2.11,2.26,2.26,2.35,2.47,2.64,2.72,2.82,2.95,3.03,3.12
