"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",-0.03,0.11,0.09,0.57,0.63,0.33,0.08,1.06,-0.44,-0.82,-0.52,-0.18,-0.70,-0.90
"종로구",-1.51,-1.58,-2.64,-0.67,0.67,3.40,-1.23,1.02,-1.08,-2.41,-3.05,-1.50,-0.92,-1.16
"중구",-1.98,-1.59,-1.59,1.43,0.80,1.00,-0.68,2.42,0.26,-0.54,-2.00,-1.28,-1.39,0.06
"용산구",-1.83,-0.69,0.42,1.23,2.19,1.08,0.06,2.37,0.83,-1.54,-1.32,-0.80,-0.80,-1.13
"성동구",0.27,0.02,-0.38,-0.52,0.21,-5.54,-2.05,0.26,-2.56,-0.62,-0.10,-0.87,0.39,0.69
"광진구",0.05,-1.02,-1.09,0.28,1.27,0.23,-0.19,0.59,-0.54,-0.62,-0.74,-1.07,-0.58,-0.82
"동대문구",0.64,-0.75,0.62,-0.15,0.03,-1.08,-1.94,1.35,-0.21,-0.75,0.20,-0.03,-0.66,-0.94
"중랑구",-1.18,-0.44,-1.41,-0.12,0.47,0.33,-0.73,0.61,-0.84,-1.17,-0.57,0.52,-1.13,-0.70
"성북구",2.14,-0.33,2.70,2.40,-0.24,0.85,0.63,2.73,-0.65,-0.78,-1.08,-1.93,-1.34,-1.69
"강북구",-0.22,0.05,-1.92,-1.04,-0.83,-0.85,-0.53,1.77,-0.36,-0.64,-1.32,-1.03,-1.18,-1.11
"도봉구",1.36,1.44,-0.04,-0.96,-0.31,-0.49,-1.14,-0.45,-0.75,-0.95,-1.06,-1.36,-0.69,-0.84
"노원구",-1.50,-0.53,-0.90,-0.51,-0.08,-0.06,-0.91,0.04,-1.20,-1.19,-1.13,-1.34,-1.34,-1.21
"은평구",1.05,0.73,-1.43,-1.17,-0.95,-0.02,1.60,4.70,1.10,1.51,0.44,-0.96,-0.13,-1.32
"서대문구",-1.70,-0.99,-0.63,0.20,0.15,-4.60,-1.20,-0.83,-2.80,0.06,-0.21,-0.99,0.70,0.86
"마포구",1.28,1.17,1.30,0.99,0.84,-1.79,-0.24,2.08,-0.46,-1.27,-0.63,1.21,0.64,-1.87
"양천구",0.60,1.71,1.03,0.56,0.59,-0.13,-0.24,-0.29,0.08,-1.00,-0.72,-1.25,-0.35,-1.47
"강서구",1.79,0.94,2.31,0.44,1.19,3.01,-0.75,0.23,-0.80,-0.36,0.25,2.85,0.68,1.08
"구로구",0.88,1.26,0.56,2.26,1.90,0.81,0.20,0.68,1.38,-0.97,-0.51,1.10,-0.55,-1.10
"금천구",1.27,-0.49,-0.79,0.02,0.13,0.35,-0.80,0.54,-0.11,-1.33,-0.95,-0.09,-0.72,-0.59
