"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",95.9,95.5,96.1,94.3,90.5,88.3,92.0,85.8,90.3,90.2,88.8,84.2,84.3,84.7
"종로구",70.4,68.2,73.8,77.2,69.8,72.2,81.2,78.5,72.1,65.7,61.0,61.1,56.2,54.6
"중구",91.9,92.7,92.5,74.4,83.0,86.0,85.7,82.9,77.1,76.9,70.9,71.6,65.7,65.2
"용산구",45.9,53.0,55.3,53.5,53.0,70.2,60.4,62.7,63.8,61.6,55.4,51.2,47.9,47.1
"성동구",38.0,34.5,38.0,40.7,39.9,45.2,51.0,52.0,51.0,50.4,48.7,45.0,39.4,40.0
"광진구",37.3,37.6,41.6,44.9,39.9,44.6,47.1,44.0,42.5,37.7,34.2,32.1,30.9,32.3
"동대문구",34.5,36.4,38.3,41.3,36.9,38.7,44.5,46.2,43.1,41.6,35.9,32.9,29.4,29.5
"중랑구",30.3,30.3,31.1,29.3,29.5,30.9,30.2,30.5,31.5,30.7,28.0,25.9,23.9,23.3
"성북구",44.6,43.1,47.4,44.5,39.1,41.2,40.6,34.8,35.8,33.4,30.5,26.8,24.4,25.5
"강북구",30.0,27.9,29.1,31.1,30.0,36.2,35.0,31.7,32.1,29.6,26.2,24.1,21.8,22.8
"도봉구",35.1,38.3,37.2,38.5,34.6,35.3,37.2,35.9,32.1,30.1,27.6,24.9,22.8,23.8
"노원구",30.1,29.5,30.7,32.0,28.8,29.1,29.2,27.4,27.7,22.7,22.3,19.0,17.5,19.2
"은평구",29.1,30.9,35.0,30.4,33.0,35.0,35.3,33.8,29.7,30.9,29.2,24.5,22.0,23.7
"서대문구",38.8,39.6,43.5,43.6,40.3,45.4,41.9,38.6,40.0,40.8,39.2,33.7,30.4,30.1
"마포구",38.5,40.6,50.3,51.7,51.8,49.6,48.2,47.1,49.3,49.1,46.1,42.6,40.9,40.9
"양천구",42.9,44.6,58.2,59.7,52.8,52.9,50.8,43.6,41.1,39.0,35.8,31.9,28.7,30.6
"강서구",41.4,43.8,45.3,43.9,38.1,35.1,32.9,33.8,34.5,33.1,29.7,27.6,26.0,25.6
"구로구",40.6,39.3,47.1,43.9,42.9,41.4,40.1,40.1,38.7,36.8,32.1,30.9,27.1,26.6
"금천구",36.2,32.9,31.8,32.9,33.4,41.8,37.4,37.8,41.0,42.2,39.1,33.7,31.6,31.3
"영등포구",72.4,73.5,76.0,71.2,67.4,66.9,68.8,66.5,59.5,56.2,49.4,49.2,46.3,45.1
"동작구",42.0,43.3,47.1,48.2,42.1,43.4,44.0,45.0,47.7,44.4,40.0,34.4,28.7,33.1
"관악구",31.3,33.1,35.7,36.6,28.3,34.2,34.5,33.9,34.3,34.0,33.0,31.1,25.3,24.8
"서초구",89.8,91.4,92.6,90.4,90.5,77.1,78.5,79.8,79.4,81.5,73.8,69.0,64.0,63.6
"강남구",87.6,91.4,89.9,87.2,88.0,75.5,79.4,77.1,82.8,80.5,75.9,70.3,66.2,65.0
"송파구",62.9,74.1,83.7,84.2,74.9,70.6,74.6,73.9,61.2,63.3,55.1,51.3,49.3,48.9
"강동구",41.3,41.2,53.8,53.1,49.2,53.7,49.0,44.5,47.7,44.2,39.1,34.9,32.2,33.0
"부산광역시",74.9,75.6,73.4,70.2,62.9,60.5,58.3,57.6,56.4,57.4,56.6,57.4,56.8,60.1
"중구",46.3,47.4,40.8,31.3,28.9,26.1,27.6,27.7,29.4,31.2,30.0,28.9,27.5,27.6
"서구",21.3,22.1,17.7,16.3,13.5,13.3,13.6,11.4,14.7,14.8,13.6,14.0,14.5,15.7
"동구",31.1,33.7,30.0,32.3,20.2,15.4,19.4,15.8,18.0,19.7,19.8,18.1,17.2,16.2
"영도구",27.6,30.1,23.4,18.8,15.5,13.0,14.5,13.8,14.0,13.6,14.4,13.5,11.4,12.5
"부산진구",46.0,45.8,43.3,38.8,31.6,28.4,24.7,23.1,28.6,29.8,30.8,26.1,24.2,24.1
"동래구",42.0,44.9,39.3,29.7,27.2,24.5,26.1,24.1,26.7,27.5,25.9,23.4,22.7,23.8
"남구",36.2,36.7,35.9,26.7,24.4,22.6,22.5,18.2,23.6,25.5,26.9,24.3,26.1,29.9
"북구",23.7,23.0,20.9,18.2,14.2,13.7,14.1,13.2,15.6,17.2,15.9,15.0,15.5,16.8
"해운대구",42.8,44.0,42.8,31.0,29.4,31.7,28.3,25.0,30.4,33.2,34.1,32.8,31.3,31.1
"사하구",36.5,39.2,34.4,25.8,23.9,20.4,20.8,18.8,22.8,23.8,22.0,21.7,19.2,19.7
"금정구",37.2,35.9,33.9,25.1,19.9,19.9,23.9,19.1,23.1,28.0,26.6,26.3,23.5,24.0
"강서구",32.2,33.1,30.8,28.3,29.7,31.7,35.1,38.6,44.3,44.7,47.8,52.0,50.3,49.6
"연제구",34.4,39.0,37.5,30.0,28.2,24.7,24.7,21.7,23.7,25.8,32.3,23.9,22.4,22.5
"수영구",40.2,39.2,35.9,29.7,25.9,20.3,23.7,20.0,26.4,31.4,26.1,26.6,23.7,25.6
"사상구",40.1,37.6,34.1,26.9,25.4,21.9,23.1,22.3,25.9,26.5,25.8,24.6,24.8,24.6
"기장군",34.7,42.5,39.2,36.4,33.6,34.1,33.2,40.4,32.4,35.0,37.4,36.4,35.3,36.7
"대구광역시",76.4,73.2,73.9,70.7,63.9,59.5,54.7,56.3,53.5,52.8,51.8,51.7,53.1,57.1
"중구",56.4,46.2,41.0,32.1,31.4,31.8,33.0,30.6,35.8,35.1,34.7,31.8,31.7,31.1
"동구",30.1,27.6,24.7,21.6,20.8,17.7,18.2,15.7,18.7,22.5,20.1,18.2,17.8,19.1
"서구",39.9,35.0,31.9,27.7,25.9,24.0,20.0,16.8,21.0,21.3,19.9,18.4,16.9,18.6
"남구",33.4,28.0,25.4,19.6,19.0,17.6,17.5,15.9,19.1,17.4,17.4,15.7,14.8,14.4
"북구",35.3,31.0,31.0,25.2,24.1,20.9,20.7,18.8,23.2,23.5,23.6,20.5,20.5,21.6
"수성구",36.7,35.9,33.0,39.5,38.5,35.1,33.0,30.0,29.4,29.5,29.4,28.0,26.3,28.3
"달서구",40.2,37.7,39.8,32.5,31.9,27.7,26.4,23.0,27.4,29.0,29.7,26.3,24.8,26.2
"달성군",37.1,33.0,31.2,30.2,33.3,34.6,36.2,38.5,37.2,35.9,36.6,35.8,36.3,42.7
"인천광역시",74.6,75.9,70.0,69.2,69.8,71.0,74.2,70.4,69.3,71.0,67.3,66.9,64.4,67.0
"중구",47.6,51.4,55.3,46.3,44.0,50.0,49.5,50.1,52.1,51.9,54.3,53.5,53.7,50.9
"동구",24.2,24.4,39.5,30.1,28.2,29.2,31.1,33.4,32.0,29.2,26.1,25.3,30.1,22.5
"남구",35.1,34.0,35.1,32.1,25.6,23.2,22.4,21.7,28.4,28.4,25.6,22.2,22.6,19.9
"연수구",39.1,36.4,37.8,32.9,26.1,29.2,29.3,29.8,44.9,43.3,42.3,40.3,39.2,41.5
"남동구",43.6,41.8,42.5,41.0,36.7,45.2,40.1,37.0,41.6,40.8,39.6,35.3,33.9,33.1
"부평구",38.1,33.0,36.5,30.5,26.5,23.2,21.9,22.6,27.7,27.6,27.0,24.0,22.5,23.3
"계양구",36.5,35.5,35.8,29.0,25.1,23.5,20.8,21.4,28.0,28.6,23.9,21.5,22.4,23.6
"서구",51.0,47.6,44.9,37.7,33.1,33.4,33.3,36.0,47.3,45.9,43.9,40.4,40.0,40.6
"강화군",16.2,14.3,14.4,12.6,13.5,16.4,16.5,17.2,13.2,13.5,12.9,13.6,14.9,15.3
"옹진군",23.8,31.8,21.1,20.4,27.6,12.9,20.3,22.7,21.1,18.2,14.3,20.2,20.2,19.2
"광주광역시",63.0,59.8,60.6,57.5,54.2,52.6,48.3,47.5,47.5,46.6,45.4,46.0,49.3,51.5
"동구",32.8,29.2,26.7,20.3,17.4,14.9,18.1,15.5,18.2,15.8,16.8,17.4,14.3,14.7
"서구",30.5,29.4,31.7,25.4,22.7,24.6,21.7,22.1,23.6,24.5,24.5,24.1,24.0,23.5
"남구",20.4,19.4,23.8,17.7,18.1,15.7,16.9,15.7,15.8,16.3,14.4,18.6,12.9,13.5
"북구",29.9,28.4,26.7,22.1,17.3,16.2,16.0,15.8,18.7,17.1,16.8,15.9,14.1,14.1
"광산구",29.4,26.9,29.6,26.0,21.0,19.2,23.3,19.3,23.1,23.2,22.3,21.6,21.4,21.4
"대전광역시",73.6,74.4,75.0,72.8,72.1,66.4,59.3,56.3,57.2,58.3,57.5,54.9,54.9,55.0
"동구",23.6,24.6,23.6,15.6,17.7,17.8,16.4,12.2,16.1,16.5,15.8,14.5,13.7,14.1
"중구",33.5,32.2,27.0,25.0,23.0,21.4,17.7,18.4,20.4,20.3,19.8,18.0,17.7,18.2
"서구",37.1,41.0,38.0,30.7,28.9,26.7,26.4,22.5,26.2,26.2,23.9,21.0,20.3,24.0
"유성구",35.9,44.1,44.1,39.2,39.7,39.1,35.4,32.8,36.3,38.3,37.2,34.1,33.2,36.3
"대덕구",31.5,29.4,27.7,24.4,20.7,18.0,18.8,18.9,20.7,21.6,21.0,18.6,18.7,20.8
"울산광역시",71.6,69.6,69.9,65.7,68.4,69.9,67.7,67.2,69.1,71.2,70.7,70.2,72.0,72.2
"중구",27.2,25.4,23.4,23.1,18.7,15.1,22.7,19.3,23.1,22.0,21.2,17.8,19.4,20.7
"남구",51.5,45.8,47.6,43.1,35.6,35.7,47.1,45.8,49.3,47.8,47.7,41.6,36.8,38.9
"동구",46.7,41.1,40.9,38.8,33.8,33.1,38.4,36.3,42.3,37.5,34.3,31.5,31.2,30.9
"북구",39.5,37.3,38.8,38.4,37.9,28.3,35.0,35.5,41.2,36.2,37.8,35.7,34.9,33.6
"울주군",50.6,48.6,51.9,50.5,49.6,56.9,56.7,48.6,47.5,46.3,45.7,47.2,50.4,44.8
"경기도",78.0,78.8,76.2,75.2,74.9,76.3,75.9,72.8,72.5,72.6,71.6,67.7,66.6,67.4
"수원시",58.4,63.0,64.8,65.6,62.5,63.1,65.9,64.0,62.2,61.5,60.2,58.9,59.6,60.9
"성남시",62.7,70.4,70.2,72.4,71.7,74.0,70.5,67.4,67.1,63.0,65.2,64.3,61.9,61.9
"의정부시",49.5,50.5,53.3,48.2,43.4,42.4,47.0,41.9,41.4,37.9,33.3,33.6,30.4,34.1
"안양시",64.1,65.3,66.9,62.7,60.8,64.6,65.3,60.8,59.6,58.0,55.3,52.7,53.2,54.4
"부천시",55.4,58.7,64.4,62.0,56.5,59.1,53.4,49.9,50.6,51.5,45.9,45.3,41.0,47.5
"광명시",51.1,46.2,50.3,47.5,45.7,46.4,51.9,52.1,53.4,51.6,49.5,48.0,45.6,46.9
"평택시",39.5,39.9,44.9,43.9,46.5,53.6,51.8,54.4,52.7,53.5,45.1,44.6,44.5,46.2
"동두천시",24.8,20.1,21.6,24.5,24.2,22.2,23.5,24.2,27.0,20.0,19.6,20.8,18.5,21.9
"안산시",54.3,59.3,62.9,62.8,55.3,58.0,57.3,57.6,49.3,48.8,55.9,47.6,47.9,48.1
"고양시",59.3,60.2,61.2,60.6,61.6,60.6,62.2,60.4,53.2,54.6,54.7,53.8,48.8,50.2
"과천시",39.3,37.3,43.9,48.2,48.4,48.3,50.9,48.3,48.4,47.1,48.0,47.3,48.7,48.2
"구리시",49.4,49.1,46.2,42.5,37.1,40.0,43.7,48.4,45.5,47.2,43.0,43.7,42.3,40.0
"남양주시",42.1,46.3,44.5,40.4,41.1,40.6,42.6,44.2,42.7,41.8,40.8,36.7,38.7,40.3
"오산시",43.8,39.2,51.9,58.4,53.5,54.5,61.1,59.2,56.1,46.1,45.8,48.1,42.5,45.6
"시흥시",47.7,58.5,60.1,58.1,57.2,58.9,60.4,57.1,54.6,57.5,54.0,51.3,54.7,55.6
"군포시",55.9,55.4,56.4,56.7,51.8,55.5,61.4,52.4,52.3,53.4,48.5,45.7,45.7,46.2
"의왕시",44.2,40.4,51.5,44.1,44.3,40.5,54.4,52.9,53.6,47.6,47.7,47.1,45.6,46.0
"하남시",36.8,43.7,47.4,47.6,41.0,48.7,48.1,48.3,48.2,49.5,52.3,53.1,49.5,53.8
"용인시",51.8,54.3,63.7,56.4,63.8,67.2,72.9,66.2,69.4,60.8,63.8,61.4,60.7,61.9
"파주시",44.8,40.6,40.7,40.8,42.4,49.4,53.6,54.0,52.4,47.7,46.3,45.2,44.0,43.6
"이천시",44.5,41.5,48.4,40.5,38.2,40.7,42.1,50.0,47.9,42.9,40.6,42.7,47.4,51.1
"안성시",30.1,29.7,34.3,31.9,34.9,35.9,37.9,39.9,40.2,40.0,38.5,40.8,37.3,37.5
"김포시",41.6,42.9,38.0,40.7,44.5,51.3,47.9,45.8,54.0,55.0,53.5,50.7,52.6,50.0
"화성시",56.0,46.2,64.0,63.6,63.0,63.8,65.8,67.1,59.0,58.8,58.4,61.3,61.5,64.2
"광주시",46.9,48.8,52.7,60.8,58.9,58.8,59.0,57.6,60.8,57.4,55.4,60.2,52.2,51.6
"양주시",40.9,31.8,35.3,36.7,31.3,47.8,55.2,40.8,37.6,33.3,31.8,33.7,34.5,38.9
"포천시",31.4,31.5,34.1,33.1,32.6,33.1,35.7,34.8,32.1,28.6,29.5,27.4,28.2,29.8
"여주시",-,-,-,-,-,-,-,-,-,-,-,37.6,36.6,36.8
"경기 여주군",31.0,30.2,38.1,38.7,40.2,42.4,39.7,35.8,42.1,39.0,38.2,-,-,-
"연천군",18.5,15.3,22.4,23.9,28.6,28.0,27.2,27.0,27.6,23.4,22.5,23.4,24.5,20.4
"가평군",21.2,20.8,21.9,21.8,23.9,25.8,25.7,26.9,27.1,27.4,27.5,28.4,25.2,26.2
"양평군",20.9,18.9,17.4,16.9,18.7,23.9,29.7,24.4,25.0,24.7,23.8,22.9,22.9,23.3
"강원도",26.7,28.9,27.5,26.7,28.3,28.2,28.0,27.1,27.5,26.9,26.6,26.6,25.9,27.1
"춘천시",33.0,33.3,34.4,32.9,31.1,33.3,31.0,30.7,29.5,28.7,27.9,27.6,26.0,27.7
"원주시",34.7,32.0,29.6,30.9,33.4,34.1,33.4,34.0,30.7,28.5,26.7,27.6,27.3,29.7
"강릉시",27.7,28.7,33.4,26.5,25.8,23.9,22.9,24.3,23.1,21.5,21.3,20.0,20.3,19.7
"동해시",23.0,21.6,21.9,21.2,21.2,22.0,17.6,18.5,17.8,17.5,17.5,19.5,19.5,19.9
"태백시",20.4,18.4,16.3,21.4,26.6,25.5,25.5,27.1,32.7,27.8,31.3,29.9,26.3,30.6
"속초시",28.1,37.9,30.1,26.5,26.3,22.0,23.6,24.1,23.1,20.3,19.7,21.0,20.0,25.2
"삼척시",13.7,12.3,13.9,13.4,15.0,16.2,15.6,16.7,15.9,16.2,17.1,21.4,18.0,20.5
