"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",2242723,1926235,1990749,2173907,2078045,2025358,1873188,1733015,1721748,1555281,1520090,1573594,1589431,1515602
"종로구",38786,34830,34264,34315,34813,39726,31031,29208,28329,26001,24676,24191,24951,23604
"중구",26309,23384,24481,27521,25871,30294,23419,23524,23613,24872,19191,20105,20078,20595
"용산구",46888,43385,44988,52581,52200,49673,44827,40673,45054,36702,34935,35618,37064,34124
"성동구",70192,59783,61936,65839,61098,56177,52050,46630,46631,48010,45399,46521,48105,47629
"광진구",83007,69492,70132,80843,80713,72506,70105,63624,62574,58688,56235,56778,58871,55362
"동대문구",89445,68461,76336,76916,77895,69935,63640,57780,57586,51643,56066,57915,55990,49591
"중랑구",93780,77966,73971,85105,86931,79115,70325,69532,65150,60157,61677,69157,64638,60566
"성북구",108745,80258,101077,106657,96820,87700,81183,83641,74040,67929,64081,65082,66804,60000
"강북구",72446,64330,59386,68161,69503,63075,54963,57460,53688,50417,47329,48224,47491,44791
"도봉구",78874,71301,68111,71116,72973,66651,57210,53589,54372,48249,47956,45658,48961,44836
"노원구",120431,102643,108949,116243,112976,100614,92019,84687,82094,75404,74362,73503,73528,72249
"은평구",101125,88656,87124,98161,91445,105127,88552,99486,88184,82891,77427,73950,82375,74864
"서대문구",72969,62024,65711,74048,67811,67973,55046,50156,48068,50685,47645,45088,55729,55152
"마포구",92698,80639,84499,87991,82085,82753,73262,75393,70011,60874,60331,68853,71484,62642
"양천구",103754,91815,94579,104220,92032,84543,84517,75105,81691,65512,63005,62502,66589,65385
"강서구",116850,103748,113707,117245,112558,127205,100639,91718,90049,82623,84702,109436,94604,95852
"구로구",83997,73380,72141,85511,77492,72802,68459,63011,72945,59003,56381,62804,57099,54368
"금천구",55017,44365,44200,48937,46131,42730,38427,37595,40140,36640,34966,33510,34056,34870
"영등포구",81793,78876,80458,86077,76795,77094,69169,66644,65477,57623,57690,59057,58936,61308
"동작구",101038,81086,85302,89152,86005,78779,71983,70829,70217,68660,70907,63291,66694,66425
"관악구",124586,115947,112992,132730,124277,115476,104469,100901,97502,92666,89789,90987,94590,91198
"서초구",97847,83100,93132,98911,83626,75998,102723,80612,78798,73029,80562,79323,76543,71136
"강남구",131412,116543,125859,145067,128375,114440,124656,110126,113315,97038,96256,115906,108537,95358
"송파구",141669,120001,120076,124586,140657,171949,138810,117420,117663,106747,99953,99723,101994,105735
"강동구",109065,90222,87338,95974,96963,93023,111704,83671,94557,73218,68569,66412,73720,67962
"부산광역시",625355,539108,552771,559915,529343,514502,519310,519334,508043,461042,478451,485710,507031,459015
"중구",9207,8194,7637,7858,7269,7636,7595,7269,7288,7075,6766,6947,6677,6452
"서구",22229,21397,18846,18384,16913,16429,15976,15749,15305,13966,15629,16225,15061,13496
"동구",18815,15112,14084,14699,14579,13385,13822,13526,14070,12105,11421,11999,12042,10612
"영도구",23428,21125,21861,19141,17630,16586,17725,15243,15059,12724,12731,11936,13293,12510
"부산진구",63262,56344,72570,61786,60787,59298,57118,56495,59741,51658,54148,54659,53893,50944
"동래구",50632,43352,42637,52096,51215,42994,42224,42102,46146,35287,37463,38511,41838,39076
"남구",56747,42539,44719,42469,43351,45546,47160,42464,41301,35182,44130,37552,38770,32983
"북구",61533,55610,55884,44507,43802,43135,40677,39045,37023,47160,36845,37262,45998,38136
"해운대구",74297,64392,65767,83879,74094,70746,68373,67699,67150,60746,57198,60714,62759,55160
"사하구",60674,52316,51888,47251,49298,53281,47221,47170,44842,40413,41349,39548,39163,38685
"금정구",48696,39766,38222,48307,38869,35633,33685,39976,37328,35800,34546,35381,34533,33858
"강서구",7078,6747,6914,7116,6308,7106,16458,10598,11823,9908,12724,19105,25424,25947
"연제구",38650,31425,32397,37845,31956,31664,30440,33026,34094,27298,27815,28973,36139,27647
"수영구",35147,33447,31271,30800,30827,29468,31164,30224,30730,27547,26875,32844,32649,29207
