"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",10174086,10173162,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616
"종로구",177519,174372,169315,166793,165846,170705,168603,170578,168382,165207,160070,156993,154986,152737
"중구",134548,131971,130027,130649,130044,130362,129465,132822,133193,133360,130465,128065,125733,125249
"용산구",231871,230107,230260,232035,235832,238224,238708,244853,246501,243232,239740,235951,233342,230241
"성동구",339368,339113,337744,334437,333535,314212,308058,309093,300711,299604,299337,296086,297003,299259
"광진구",384929,380537,375613,374442,376572,375482,373998,375463,371936,371313,368927,363354,360369,357215
"동대문구",382875,379404,381110,378860,376421,370250,362146,366786,365486,363258,364273,363687,360153,355069
"중랑구",436089,433858,427373,426078,427071,427871,424761,427455,423706,419295,416798,418836,413909,411005
"성북구",453057,451122,462879,472843,469973,473357,476028,488932,485171,481857,476589,466706,459275,450355
"강북구",360663,360525,353260,348990,345478,342274,340367,346520,345054,343157,338707,335025,330873,327195
"도봉구",376599,381939,381529,377534,375975,373936,369733,368298,365573,362270,358582,353709,351242,348220
"노원구",631931,628184,622003,618093,616753,615981,610616,611230,603930,597189,590479,582552,574583,567581
"은평구",474778,478087,470751,464580,459196,458401,465895,488109,493634,501480,503660,498644,497920,491476
"서대문구",355753,352071,349163,349020,348575,331688,327451,324541,314852,315113,314110,310376,312141,314194
"마포구",379451,383457,388164,390583,392650,385119,384013,391865,389493,384644,381856,385439,387643,379892
"양천구",486962,495098,499755,501717,503650,502343,501395,500001,500210,495911,492528,486221,484532,477739
"강서구",537003,541671,553660,554945,560424,576848,572836,574127,569072,567431,569070,585160,589074,595485
"구로구",412845,416828,416405,419832,420542,420795,421967,423736,427468,427520,424964,425831,422092,417551
"금천구",261224,259633,256902,253243,249108,247320,244835,245195,243438,243288,241020,238463,236284,235386
"영등포구",403327,406261,408386,408698,408178,408099,405798,406833,397443,391408,386471,382352,378504,370613
"동작구",410360,410945,410481,408582,405967,400866,397920,402709,401408,405491,410815,407470,400641,400997
"관악구",522456,530156,530020,535217,535571,534556,529869,531434,526397,523029,518028,513186,509663,506851
"서초구",394757,400868,401736,408266,405969,406320,425481,434720,433564,435044,441763,449678,446764,447192
"강남구",528977,531517,540909,556964,560958,557832,562138,570095,565710,564197,563599,578114,576495,567115
"송파구",619514,604293,605840,607005,623876,668962,681476,685279,682209,673115,668415,664738,660302,657831
"강동구",477230,471145,464059,461760,464546,469024,484745,491871,495138,487905,483379,476597,458658,444168
"부산광역시",3691445,3666345,3638293,3611992,3587439,3564577,3543030,3567910,3550963,3538484,3527635,3519401,3513777,3498529
"중구",54371,53179,51957,50766,50004,49565,48905,49442,48686,48148,47345,46737,45816,45208
"서구",144305,142460,139607,136226,132803,129385,125785,126040,123718,120828,118783,118115,115963,112973
"동구",117617,114204,109879,106890,104881,102764,101153,101514,100420,98529,96011,94565,92069,89826
"영도구",170355,166054,162961,158780,155273,152118,148139,146798,143205,139765,135816,132102,129385,126362
"부산진구",410603,405534,410610,405775,402359,400516,395689,395826,395044,392731,389765,387378,381572,376526
"동래구",282056,279366,276095,279528,284901,282673,281644,282779,283742,278767,276689,275971,272837,272745
"남구",307287,304481,302257,297893,296666,298314,297963,298458,295121,291175,291770,286989,283101,278779
"북구",326710,333316,335699,330446,325302,318859,314227,312218,307988,312937,309719,306974,310484,310202
"해운대구",403585,403432,404599,418875,423816,424455,424974,426729,425618,428188,425536,423531,422818,419853
"사하구",375283,374248,371909,366865,364693,365368,359800,358730,355443,352726,349110,343371,337781,334603
"금정구",274696,271046,264880,263338,258934,256398,252039,255419,254720,255692,253526,249856,246026,244624
