"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",550,554,563,568,572,578,586,587,591,594,597,599,599,601
"종로구",14,14,14,14,14,14,14,14,14,14,14,14,14,13
"중구",12,12,12,11,12,12,12,12,12,12,12,12,12,12
"용산구",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"성동구",16,16,17,18,18,18,19,20,20,20,20,20,20,21
"광진구",20,21,22,22,22,22,22,22,22,22,22,22,22,22
"동대문구",20,20,20,21,21,21,21,21,21,21,21,21,21,21
"중랑구",21,21,22,22,22,22,22,22,22,22,22,23,23,23
"성북구",26,26,27,28,29,29,29,29,29,29,29,29,29,29
"강북구",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"도봉구",22,23,23,23,23,23,23,23,23,23,23,23,23,23
"노원구",42,42,42,42,42,42,42,42,42,42,42,42,42,42
"은평구",23,24,25,25,25,25,29,29,31,31,31,31,30,30
"서대문구",18,18,18,18,18,18,18,18,18,18,18,18,18,19
"마포구",20,20,20,20,21,21,21,21,22,22,22,22,22,22
"양천구",27,27,27,28,28,28,29,29,29,30,30,30,30,30
"강서구",32,32,33,34,34,35,36,36,36,36,36,36,36,36
"구로구",22,23,23,23,23,23,23,23,23,24,24,24,24,24
"금천구",18,18,18,18,18,18,18,18,18,18,18,18,17,17
"영등포구",21,21,22,22,23,23,23,23,23,23,23,23,23,23
"동작구",18,18,19,19,19,20,20,20,20,20,21,21,21,21
"관악구",21,21,22,22,22,22,22,22,22,22,22,22,22,22
"서초구",20,20,20,21,21,22,22,22,22,23,24,24,24,24
"강남구",30,30,30,30,30,30,30,30,30,30,31,31,33,33
"송파구",33,33,33,33,33,36,37,37,37,37,37,38,38,39
"강동구",25,25,25,25,25,25,25,25,26,26,26,26,26,26
"부산광역시",279,283,285,292,293,293,297,298,297,299,302,305,306,308
"중구",5,5,5,5,5,5,5,5,5,5,5,5,5,4
"서구",10,10,10,10,10,10,10,11,11,11,11,11,11,11
"동구",9,9,9,9,9,8,8,8,8,8,8,8,8,8
"영도구",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"부산진구",31,31,31,32,32,32,32,32,32,32,32,32,32,32
"동래구",20,20,20,21,22,22,22,22,22,22,22,22,22,22
"남구",19,19,19,19,19,19,20,20,20,20,20,21,21,21
"북구",24,26,26,26,26,26,26,26,26,26,27,27,27,27
"해운대구",29,28,29,32,32,32,32,32,32,33,33,33,33,33
"사하구",24,25,26,26,26,27,27,27,27,27,27,27,27,27
"금정구",19,20,20,21,21,21,21,21,21,22,22,22,22,23
"강서구",16,16,16,16,16,16,17,17,16,16,17,17,17,18
"연제구",16,16,16,16,16,16,16,16,16,16,16,16,16,16
"수영구",10,10,10,10,10,10,10,10,10,10,10,10,10,10
"사상구",20,20,20,21,21,21,21,21,21,21,21,21,21,21
"기장군",13,14,14,14,14,14,16,16,16,16,17,19,20,21
"대구광역시",193,198,201,204,205,211,215,214,216,217,219,220,221,225
"중구",10,10,10,10,10,10,10,10,10,10,10,10,10,10
"동구",26,28,28,28,28,28,29,29,29,30,31,32,32,32
"서구",17,17,17,17,17,17,17,17,17,17,17,17,17,17
"남구",11,11,11,11,11,11,11,11,11,11,11,11,11,11
"북구",33,35,35,36,36,38,38,38,38,38,38,38,38,38
"수성구",30,30,30,31,32,33,33,33,34,34,34,34,34,34
"달서구",45,45,46,47,47,49,51,51,52,52,53,53,54,54
"달성군",21,22,24,24,24,25,26,25,25,25,25,25,25,29
"인천광역시",190,197,206,210,216,224,224,226,232,236,240,242,243,247
"중구",10,11,11,11,11,11,11,12,12,12,12,13,13,13
"동구",8,8,8,8,8,8,8,8,8,8,8,8,8,8
"남구",21,21,21,20,20,22,22,22,22,22,22,22,22,22
"연수구",17,17,18,19,19,20,20,20,21,22,23,24,24,26
"남동구",24,26,26,26,28,32,32,33,36,36,37,37,37,38
"부평구",37,38,40,41,42,42,42,42,42,42,42,42,42,42
"계양구",21,20,23,24,26,26,26,26,26,26,26,26,26,26
"서구",24,28,31,33,34,35,35,35,37,40,42,42,43,44
"강화군",22,22,22,22,22,22,22,22,22,22,22,22,22,22
"옹진군",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"광주광역시",121,123,128,134,136,139,145,145,147,148,149,150,153,153
"동구",11,11,11,11,11,11,11,11,11,11,11,10,10,10
"서구",27,27,27,28,27,27,27,27,27,29,29,30,30,30
"남구",17,17,18,18,19,20,21,21,21,21,21,21,22,22
"북구",38,39,38,41,43,45,45,45,46,44,44,44,46,46
"광산구",28,29,34,36,36,36,41,41,42,43,44,45,45,45
"대전광역시",117,120,124,129,136,137,138,138,141,143,143,143,146,146
