"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서울특별시",100137,98790,89489,92885,100107,94736,89595,93268,91526,93914,84066,83711,83005,75536
"종로구",1382,1275,1116,1118,1182,1176,1095,1107,1103,1100,873,905,906,846
"중구",1188,1243,1073,1103,1250,1141,1052,1170,1105,1215,1022,1041,950,959
"용산구",2171,2201,1982,2104,2391,2332,2159,2312,2309,2411,2129,1976,1967,1708
"성동구",3818,3643,3344,3422,3721,3372,2823,2886,2776,2835,2838,2654,2753,2531
"광진구",4201,3878,3366,3531,3678,3479,3258,3366,3184,3319,2990,3011,2951,2767
"동대문구",3269,3320,2996,3157,3322,3236,2879,2880,2947,2963,2651,2634,2687,2383
"중랑구",3843,3994,3518,3634,3854,3711,3495,3570,3450,3659,3265,3288,3368,3085
"성북구",4227,4337,4006,4354,4789,4415,4218,4409,4414,4217,3831,3537,3514,3060
"강북구",3409,3105,2778,2747,3097,2858,2784,2801,2789,2818,2491,2360,2164,1965
"도봉구",3477,3538,3106,3093,3266,3035,3030,3158,3005,3083,2530,2553,2481,2249
"노원구",6963,6627,5705,5821,6196,5721,5178,5298,5063,5296,4668,4715,4462,4176
"은평구",4850,4716,4188,4194,4374,3856,3804,4095,4318,4654,4157,4085,3870,3522
"서대문구",3595,3421,3003,3002,3242,2937,2602,2713,2368,2470,2358,2334,2175,2201
"마포구",3830,4247,3793,4095,4547,4144,3735,3824,3859,3797,3320,3373,3626,3392
"양천구",4229,4115,3886,4080,4440,4110,3674,3678,3727,3869,3547,3527,3526,3334
"강서구",5638,5629,5330,5554,6051,5979,5740,5720,5753,5875,5224,5424,5812,5456
"구로구",4553,4622,4368,4661,4974,4883,4560,4770,4633,4936,4468,4279,4257,3736
"금천구",2511,2542,2203,2340,2286,2102,1978,2002,1927,2077,1739,1820,1885,1595
"영등포구",4552,4504,4293,4484,4850,4453,4119,4289,4050,4050,3448,3480,3611,3282
"동작구",4295,4538,4123,4163,4315,4044,3829,3847,3837,3883,3712,3765,3643,3184
"관악구",5649,5618,5205,5205,5654,5306,4836,4738,4729,4596,4140,4071,3960,3561
"서초구",3485,3644,3311,3571,3824,3846,3746,4403,4190,4439,4081,4135,4078,3629
"강남구",4329,4108,3800,4272,4763,4586,4388,4836,4761,4903,4551,4654,4595,4122
"송파구",6313,5696,5218,5326,5869,5995,6363,6750,6574,6859,5963,6001,5899,5500
"강동구",4360,4229,3778,3854,4172,4019,4250,4646,4655,4590,4070,4089,3865,3293
"부산광역시",29839,27993,25464,25678,28223,26670,25110,27414,27759,28673,25831,26190,26645,24906
"중구",402,386,301,294,325,309,298,355,324,298,266,264,257,211
"서구",1020,884,829,787,822,712,619,631,675,674,584,608,599,574
"동구",818,712,617,609,674,628,603,627,667,639,552,520,482,436
"영도구",1195,1036,891,944,985,906,767,894,851,793,684,653,634,619
"부산진구",3432,3223,3058,3187,3521,3299,3175,3270,3288,3475,3070,3027,3029,2692
"동래구",1973,1928,1647,1765,2042,2020,1868,2010,2051,2111,1775,1813,1833,1737
"남구",2593,2483,2202,2124,2378,2303,2239,2436,2325,2239,2051,1997,1940,1718
"북구",3087,2931,2738,2591,2724,2477,2252,2367,2319,2578,2405,2396,2397,2417
"해운대구",3345,3077,2926,3086,3612,3314,3229,3368,3493,3473,3148,3092,3022,2845
"사하구",3166,3177,2838,2900,3071,3118,2965,3053,3239,3219,2851,2724,2696,2398
"금정구",2062,1885,1606,1546,1808,1592,1453,1632,1621,1722,1548,1469,1540,1275
"강서구",364,290,306,299,321,301,415,609,567,671,680,925,1365,1601
"연제구",1824,1584,1477,1548,1662,1596,1503,1635,1669,1710,1494,1563,1513,1478
"수영구",1202,1255,1258,1245,1374,1290,1137,1264,1309,1327,1180,1201,1374,1263
"사상구",2665,2432,2081,2137,2291,2168,1905,2186,2196,2315,2040,2014,2001,1682
"기장군",691,710,689,616,613,637,682,1077,1165,1429,1503,1924,1963,1960
"대구광역시",24333,23111,20677,20226,22169,20562,19399,20557,20758,21472,19340,19361,19438,18298
"중구",552,524,463,471,610,556,544,527,563,541,504,550,664,700
"동구",3167,3231,3043,2908,3141,2864,2657,3028,3071,3206,2903,3044,3082,2806
"서구",2241,1991,1617,1616,1620,1419,1257,1298,1448,1565,1390,1261,1219,1113
"남구",1557,1382,1254,1305,1397,1314,1152,1124,1122,1185,1092,1009,1015,879
"북구",5305,5453,4929,4871,5220,4627,4160,4281,4295,4391,3798,3820,3900,3575
"수성구",3434,3086,2852,2798,3212,3086,2852,2797,2877,2989,2634,2781,2603,2400
"달서구",6277,5645,4815,4645,5205,4920,4976,5404,5333,5463,5097,5025,5049,4504
"달성군",1800,1799,1704,1612,1764,1776,1801,2098,2049,2132,1922,1871,1906,2321
"인천광역시",26593,24878,22825,23544,26538,25365,24379,25752,26118,27781,25560,25786,25491,23609
"중구",905,1026,892,891,1024,832,807,897,867,934,935,1003,1020,915
"동구",670,801,628,611,661,648,634,753,827,767,648,577,624,527
"남구",4202,4088,3514,3407,3825,3715,3601,3862,3785,3820,3400,3275,3191,2998
"연수구",2484,2182,2054,2122,2361,2189,2086,2310,2324,2585,2496,2629,2646,2542
"남동구",4179,3754,3271,3434,4195,4572,4559,4652,5010,5333,4699,4732,4883,4521
"부평구",6035,5551,5265,5498,6025,5509,5293,5332,5142,5235,4874,5022,4918,4537
"계양구",3911,3572,3075,3264,3625,3291,3199,3396,3339,3432,2997,3004,2763,2455
"서구",3658,3408,3641,3814,4285,4124,3686,4045,4362,5194,5122,5129,5051,4717
"강화군",412,375,383,367,389,359,360,353,306,318,267,287,274,276
"옹진군",137,121,102,136,148,126,154,152,156,163,122,128,121,121
"광주광역시",15816,14621,13229,13576,14735,13890,13101,13979,13916,14392,12729,12729,12441,11580
"동구",810,772,656,654,756,665,593,655,781,917,820,841,679,559
"서구",3963,3571,3092,3087,3191,2979,2680,2714,2726,2936,2606,2452,2233,2205
"남구",1648,1457,1371,1507,1534,1607,1541,1724,1679,1756,1458,1493,1600,1416
"북구",5050,4585,4146,4272,4906,4606,4384,4317,4054,3962,3489,3707,3841,3437
"광산구",4345,4236,3964,4056,4348,4033,3903,4569,4676,4821,4356,4236,4088,3963
"대전광역시",15573,14925,13863,14390,15705,14856,13915,14315,14808,15279,14099,13962,13774,12436
"동구",2155,2236,1972,2041,2443,2375,2268,2312,2376,2469,2260,2085,1997,1666
"중구",2557,2224,2261,2341,2488,2452,2298,2282,2321,2357,2081,2119,1952,1689
"서구",5570,5425,4876,4920,5063,4759,4473,4599,4751,4860,4504,4431,4483,4069
"유성구",2535,2417,2493,2996,3495,3275,3034,3201,3531,3723,3464,3641,3820,3647
"대덕구",2756,2623,2261,2092,2216,1995,1842,1921,1829,1870,1790,1686,1522,1365
"울산광역시",11650,11093,10422,10685,11918,11365,11033,11433,11542,12160,11330,11556,11732,10910
"중구",2320,2071,1866,1963,2167,1994,1863,1857,1838,1991,1823,1918,2081,2107
"남구",3553,3309,3101,3052,3254,3024,3033,3149,3180,3342,3107,3189,3176,2840
"동구",1902,1874,1781,1946,2277,1939,1926,1980,2033,2294,2221,2304,2157,2013
"북구",1592,1690,1748,1939,2135,2229,2125,2285,2382,2330,2145,2103,2258,2122
"울주군",2283,2149,1926,1785,2085,2179,2086,2162,2109,2203,2034,2042,2060,1828
"경기도",119405,116729,108576,114143,125615,119397,113691,121751,122027,124747,112128,112169,113495,105643
"수원시",13572,12667,11021,11490,12650,11763,10948,11254,10974,12098,11360,11628,12036,10940
"성남시",10840,10801,9814,9726,10277,9297,8829,9737,9632,9609,8847,8718,8864,8312
"의정부시",4391,3968,3804,3759,4396,4152,3898,3918,3612,3683,3245,3168,3178,2967
"안양시",6544,6636,6185,6180,6397,6044,5473,5863,5781,5639,5182,5183,5160,4776
"부천시",9184,9086,8129,8409,9224,8609,8272,8529,8268,8341,7221,7240,6909,6426
"광명시",4334,4063,3510,3454,3445,3346,3079,3917,4462,4304,3643,3387,3364,2905
"평택시",4213,4088,3907,4401,4847,4569,4309,4386,4364,4615,4262,4360,4462,4179
"동두천시",736,707,737,813,947,881,871,990,946,871,814,784,759,714
"안산시",8440,8247,7369,7402,8196,7455,6690,6916,6852,6797,6122,5953,5880,5131
"고양시",9443,9152,8285,8617,9119,8722,7923,8279,8251,8446,7566,7771,8131,7507
"과천시",772,737,495,423,422,508,593,577,565,571,556,519,492,414
"구리시",2197,2001,1759,1960,2166,1986,1889,1958,1860,1883,1635,1431,1505,1340
"남양주시",4231,4205,4013,4669,5593,5414,5082,5821,6125,6081,5504,5455,5588,5218
"오산시",1951,1853,1845,2001,2327,2289,2247,2624,2969,3080,2683,2700,2537,2261
"시흥시",5053,4894,4519,4818,4906,4631,4432,4504,4304,4110,3533,3263,3346,3069
"군포시",3809,3547,3228,3477,3588,3464,3216,3491,3627,3656,3159,3255,3191,2887
"의왕시",1575,1535,1407,1392,1354,1271,1218,1451,1426,1584,1548,1427,1357,1218
"하남시",1133,1205,1051,1127,1335,1301,1358,1409,1335,1281,1112,1142,1212,1600
