부산광역시,2008,2009,2010,2011,2012,2013,2014,2015,2016,비고
인구증가율,-0.53,-0.6,0.73,-0.4,-0.35,-0.28,-0.16,-0.11,-0.38,%
주민등록인구,3564577,3543030,3567910,3550963,3538484,3527635,3519401,3513777,3498529,
도로포장률,,,,,,97.46,98,98.13,98.24,%
상수도보급률,99.8,99.9,99.9,99.9,100,100,100,100,,%
하수도보급률,99,99.1,99.1,99.1,99.2,99.2,99.2,99.2,,%
사업체수,258091,259973,259972,263356,270058,271983,277713,278850,283554,
재정자립도,60.5,58.3,57.6,56.4,57.4,56.6,57.4,56.8,60.1,%
문화기반시설수,1.49,1.83,1.82,2.06,2.15,2.21,2.24,2.48,2.77,십만명 당
사회복지시설수,4.21,5.11,6.47,5.97,7.32,5.75,5.8,5.83,,십만명 당
의료기관종사 의사수,2.4,2.46,2.56,2.68,2.77,2.88,2.97,3.06,3.12,천명 당
사설학원수,1.33,1.34,1.36,1.42,1.37,1.31,1.29,1.34,1.35,천명 당
유치원수,377,379,373,365,369,383,395,403,412,
초등학교수,293,297,298,297,299,302,305,306,308,
1인당 연간 소득,17.21,17.36,18.33,19.17,19.64,20.35,21.34,22.66,23.56,백만원
비만율,20.5,21.8,22.3,22.9,22.7,24.2,24.7,25.7,26.3,%
