대구광역시,2008,2009,2010,2011,2012,2013,2014,2015,2016,비고
인구증가율,0,-0.14,0.91,-0.11,-0.07,-0.11,-0.25,-0.18,-0.12,%
주민등록인구,2492724,2489781,2511676,2507271,2505644,2501588,2493264,2487829,2484557,
도로포장률,,,,,,100,100,100,100,%
상수도보급률,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,,%
하수도보급률,97.5,98,98,98.2,98.3,98.3,98.3,98.3,,%
사업체수,178629,178765,183115,188300,192600,195717,198764,200070,205319,
재정자립도,59.5,54.7,56.3,53.5,52.8,51.8,51.7,53.1,57.1,%
문화기반시설수,1.73,1.89,1.87,2.35,2.43,2.56,2.65,2.89,2.94,십만명 당
사회복지시설수,4.21,5.26,8.04,9.85,11.97,13.99,14.28,14.71,,십만명 당
의료기관종사 의사수,2.58,2.65,2.69,2.73,2.82,2.89,2.95,3.04,3.14,천명 당
사설학원수,1.19,1.38,1.56,1.49,1.41,1.45,1.46,1.46,1.51,천명 당
유치원수,295,303,310,322,343,361,375,392,375,
초등학교수,211,215,214,216,217,219,220,221,225,
1인당 연간 소득,14.3,14.51,15.56,16.69,17.34,18.08,18.8,19.8,20.15,백만원
비만율,20.5,22.1,20.8,21.9,22.2,23.2,23.6,25.5,24.6,%
