광주광역시,2008,2009,2010,2011,2012,2013,2014,2015,2016,비고
인구증가율,0.78,0.78,1.53,0.65,0.42,0.32,0.3,-0.15,-0.1,%
주민등록인구,1422702,1433640,1454636,1463464,1469216,1472910,1475884,1472199,1469214,
도로포장률,,,,,,99.58,100,100,99.99,%
상수도보급률,98,98.5,99.4,99.5,99.5,99.6,99.6,99.8,,%
하수도보급률,98,97.9,98.1,98.1,98.4,98.6,98.6,98.6,,%
사업체수,97511,99148,99976,102386,105931,108808,111285,113424,116046,
재정자립도,52.6,48.3,47.5,47.5,46.6,45.4,46,49.3,51.5,%
문화기반시설수,2.6,2.93,2.89,2.87,3.13,3.39,3.66,3.8,3.88,십만명 당
사회복지시설수,6.47,7.67,9.35,9.7,9.73,10.39,10.84,10.94,,십만명 당
의료기관종사 의사수,2.68,2.71,2.84,2.98,3.01,3.11,3.21,3.32,3.47,천명 당
사설학원수,1.94,1.54,1.7,1.56,1.39,2.29,2.37,2.4,2.41,천명 당
유치원수,234,246,248,258,278,295,308,315,321,
초등학교수,139,145,145,147,148,149,150,153,153,
1인당 연간 소득,15.66,16.11,17.68,18.5,19.23,19.79,20.8,21.59,22.39,백만원
비만율,18.7,20.1,21.3,20.3,22.8,23.5,23.3,23.7,26.1,%
