서울특별시,2008,2009,2010,2011,2012,2013,2014,2015,2016,비고
인구증가율,0.33,0.08,1.06,-0.44,-0.82,-0.52,-0.18,-0.7,-0.9,%
주민등록인구,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,
도로포장률,,,,,,100,100,100,100,%
상수도보급률,100,100,100,100,100,100,100,100,,%
하수도보급률,100,100,100,100,100,100,100,100,,%
사업체수,719687,723086,729731,752285,780887,785094,812798,820658,820156,
재정자립도,88.3,92,85.8,90.3,90.2,88.8,84.2,84.3,84.7,%
문화기반시설수,2.38,2.77,2.74,2.82,2.93,3.19,3.39,3.55,3.68,십만명 당
사회복지시설수,3.68,5.05,6.54,6.66,6.95,7.49,7.56,7.67,,십만명 당
의료기관종사 의사수,3.15,3.3,3.4,3.48,3.56,3.76,3.82,3.89,3.99,천명 당
사설학원수,1.18,1.18,1.28,1.31,1.34,1.32,1.35,1.4,1.41,천명 당
유치원수,883,873,866,857,866,869,884,888,879,
초등학교수,578,586,587,591,594,597,599,599,601,
1인당 연간 소득,26.01,26.95,28.72,30.16,31.24,31.89,32.95,34.65,36.24,백만원
비만율,20.6,21.4,21.7,22.7,23.7,23.2,23.9,24.7,25.7,%
