"행정구역별",2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"서울특별시",99.4,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"종로구",98.7,99.5,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"중구",98.5,99.4,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"용산구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"성동구",98.7,99.5,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"광진구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"동대문구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"중랑구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"성북구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"강북구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"도봉구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"노원구",98.3,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"은평구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서대문구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"마포구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"양천구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"강서구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"구로구",99.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"금천구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"영등포구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"동작구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"관악구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서초구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"강남구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"송파구",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
